"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_-0.791447=*_class=1","0.0","_-0.791447=*_class=1","_-0.791447","1"
"0.0","0.0","0.0","0.0","_15326.691400=*_class=1","0.0","_15326.691400=*_class=1","_15326.691400","1"
"0.0","0.0","0.0","0.0","_2.371604=*_class=1","0.0","_2.371604=*_class=1","_2.371604","1"
"0.0","0.0","0.0","0.0","_1.746493=*_class=1","0.0","_1.746493=*_class=1","_1.746493","1"
"0.0","0.0","0.0","0.0","_2.391239=*_class=1","0.0","_2.391239=*_class=1","_2.391239","1"
"0.0","0.0","0.0","0.0","_0.515090=*_class=1","0.0","_0.515090=*_class=1","_0.515090","1"
"0.0","0.0","0.0","0.0","_-3.344671=*_class=1","0.0","_-3.344671=*_class=1","_-3.344671","1"
"0.0","0.0","0.0","0.0","_-3.037772=*_class=1","0.0","_-3.037772=*_class=1","_-3.037772","1"
"0.0","0.0","0.0","0.0","_1.765738=*_class=1","0.0","_1.765738=*_class=1","_1.765738","1"
"0.0","0.0","0.0","0.0","_-1.058061=*_class=1","0.0","_-1.058061=*_class=1","_-1.058061","1"
"0.0","0.0","0.0","0.0","_-0.426662=*_class=1","0.0","_-0.426662=*_class=1","_-0.426662","1"
"0.0","0.0","0.0","0.0","_-0.809953=*_class=1","0.0","_-0.809953=*_class=1","_-0.809953","1"
"0.0","0.0","0.0","0.0","_-0.361030=*_class=1","0.0","_-0.361030=*_class=1","_-0.361030","1"
"0.0","0.0","0.0","0.0","_2.680623=*_class=1","0.0","_2.680623=*_class=1","_2.680623","1"
"0.0","0.0","0.0","0.0","_0.334017=*_class=1","0.0","_0.334017=*_class=1","_0.334017","1"
"0.0","0.0","0.0","0.0","_0.474520=*_class=1","0.0","_0.474520=*_class=1","_0.474520","1"
"0.0","0.0","0.0","0.0","_0.246473=*_class=1","0.0","_0.246473=*_class=1","_0.246473","1"
"0.0","0.0","0.0","0.0","_-0.944425=*_class=1","0.0","_-0.944425=*_class=1","_-0.944425","1"
"0.0","0.0","0.0","0.0","_0.223703=*_class=1","0.0","_0.223703=*_class=1","_0.223703","1"
"0.0","0.0","0.0","0.0","_0.841862=*_class=1","0.0","_0.841862=*_class=1","_0.841862","1"
"0.0","0.0","0.0","0.0","_3128.848900=*_class=1","0.0","_3128.848900=*_class=1","_3128.848900","1"
"0.0","0.0","0.0","0.0","_-1.728611=*_class=1","0.0","_-1.728611=*_class=1","_-1.728611","1"
"0.0","0.0","0.0","0.0","_-0.550743=*_class=1","0.0","_-0.550743=*_class=1","_-0.550743","1"
"0.0","0.0","0.0","0.0","_0.723993=*_class=1","0.0","_0.723993=*_class=1","_0.723993","1"
"0.0","0.0","0.0","0.0","_0.430440=*_class=1","0.0","_0.430440=*_class=1","_0.430440","1"
"0.0","0.0","0.0","0.0","_-0.416382=*_class=1","0.0","_-0.416382=*_class=1","_-0.416382","1"
"0.0","0.0","0.0","0.0","_0.399746=*_class=1","0.0","_0.399746=*_class=1","_0.399746","1"
"0.0","0.0","0.0","0.0","_-0.345119=*_class=2","0.0","_-0.345119=*_class=2","_-0.345119","2"
"0.0","0.0","0.0","0.0","_1.742488=*_class=2","0.0","_1.742488=*_class=2","_1.742488","2"
"0.0","0.0","0.0","0.0","_2.519022=*_class=2","0.0","_2.519022=*_class=2","_2.519022","2"
"0.0","0.0","0.0","0.0","_-0.187465=*_class=2","0.0","_-0.187465=*_class=2","_-0.187465","2"
"0.0","0.0","0.0","0.0","_3136.877800=*_class=2","0.0","_3136.877800=*_class=2","_3136.877800","2"
"0.0","0.0","0.0","0.0","_-0.619214=*_class=2","0.0","_-0.619214=*_class=2","_-0.619214","2"
"0.0","0.0","0.0","0.0","_2.269085=*_class=2","0.0","_2.269085=*_class=2","_2.269085","2"
"0.0","0.0","0.0","0.0","_0.605065=*_class=2","0.0","_0.605065=*_class=2","_0.605065","2"
"0.0","0.0","0.0","0.0","_2581.568600=*_class=2","0.0","_2581.568600=*_class=2","_2581.568600","2"
"0.0","0.0","0.0","0.0","_-0.969336=*_class=2","0.0","_-0.969336=*_class=2","_-0.969336","2"
"0.0","0.0","0.0","0.0","_-2.488324=*_class=2","0.0","_-2.488324=*_class=2","_-2.488324","2"
"0.0","0.0","0.0","0.0","_0.122736=*_class=2","0.0","_0.122736=*_class=2","_0.122736","2"
"0.0","0.0","0.0","0.0","_3.860647=*_class=2","0.0","_3.860647=*_class=2","_3.860647","2"
"0.0","0.0","0.0","0.0","_-0.638167=*_class=2","0.0","_-0.638167=*_class=2","_-0.638167","2"
"0.0","0.0","0.0","0.0","_2.754759=*_class=2","0.0","_2.754759=*_class=2","_2.754759","2"
"0.0","0.0","0.0","0.0","_2.803678=*_class=2","0.0","_2.803678=*_class=2","_2.803678","2"
