"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"4800","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"4900","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5000","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5100","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5200","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5300","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5400","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5500","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5600","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5700","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5800","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"5900","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"6000","0.491588","1.5730816000000052E-4","1.1390647892519134E-16","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
