"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"3600","0.7474305333333338","1.6108416666666675E-4","2.910631165969875E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"3700","0.7454511135135143","1.6065756756756774E-4","2.789113407393116E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"3800","0.7506408842105278","1.6177605263157927E-4","2.89296475760219E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"3900","0.7453469948717917","1.606351282051275E-4","2.775448066885484E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4000","0.7498002199999996","1.615948749999999E-4","2.8138074777343797E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"4100","0.7477744780487815","1.6115829268292705E-4","2.8831000207912535E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4200","0.7503012571428573","1.6170285714285716E-4","2.89736114002886E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4300","0.7434790697674407","1.6023255813953462E-4","2.812617384040739E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4400","0.7544893090909048","1.6260545454545362E-4","2.890458917230222E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4500","0.7449339555555547","1.6054611111111094E-4","2.8454123266722676E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4600","0.7461150260869578","1.6080065217391332E-4","2.8342471827283726E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4700","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4800","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"4900","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5000","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5100","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5200","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5300","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5400","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5500","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5600","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5700","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5800","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"5900","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"6000","0.7453889999999985","1.6064418103448245E-4","2.8283142450783783E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
