"points","all_attributes","date_day","date_period","date_nswprice","date_nswdemand","date_vicprice","date_vicdemand","date_transfer","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"8400","0.461309523809523","0.07738095238095238","0.0773809523809524","0.125","0.07738095238095237","0.059523809523809534","0.059523809523809534","0.059523809523809534","0.17857142857142855","0.2589285714285714","0.17261904761904756","0.07738095238095238","0.07738095238095238","0.07738095238095238","0.19940476190476195","0.1488095238095238","0.07738095238095241","0.07738095238095241","0.0773809523809524","0.2142857142857143","0.125","0.125","0.125","0.07738095238095237","0.07738095238095237","0.07738095238095238","0.059523809523809534","0.059523809523809534","0.059523809523809534"
"8736","0.6101190476190466","0.31845238095238093","0.1339285714285714","0.1726190476190476","0.1369047619047619","0.13392857142857142","0.13392857142857142","0.13392857142857142","0.3363095238095238","0.47619047619047605","0.357142857142857","0.31845238095238093","0.31845238095238093","0.31845238095238093","0.23809523809523805","0.2202380952380952","0.1339285714285714","0.1339285714285714","0.1339285714285714","0.25595238095238093","0.1726190476190476","0.1726190476190476","0.1726190476190476","0.13690476190476192","0.13690476190476192","0.13690476190476192","0.13392857142857142","0.13392857142857142","0.13392857142857142"
"9072","0.9999999999999979","0.9999999999999998","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","0.3779761904761904","0.4255952380952381","0.44345238095238076","0.27678571428571425","0.27678571428571425","0.2767857142857143","0.31845238095238093","0.2172619047619047","0.12202380952380949","0.12202380952380949","0.12202380952380952","0.37797619047619047","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.1488095238095238","0.1488095238095238","0.1488095238095238","0.12202380952380948","0.12202380952380948","0.12202380952380948"
"9408","0.624999999999999","0.18154761904761907","0.11011904761904763","0.16666666666666666","0.1220238095238095","0.05654761904761901","0.05654761904761901","0.05654761904761901","0.27083333333333337","0.36904761904761896","0.3452380952380951","0.18154761904761907","0.18154761904761907","0.18154761904761904","0.22619047619047614","0.24107142857142855","0.11011904761904763","0.11011904761904763","0.11011904761904763","0.22321428571428564","0.16666666666666666","0.16666666666666666","0.16666666666666663","0.1220238095238095","0.1220238095238095","0.12202380952380949","0.05654761904761901","0.05654761904761901","0.05654761904761901"
"9744","0.6874999999999987","0.28571428571428575","0.13095238095238093","0.16369047619047622","0.2113095238095238","0.08333333333333331","0.08333333333333331","0.08333333333333331","0.3214285714285713","0.4702380952380953","0.38690476190476175","0.28571428571428575","0.28571428571428575","0.28571428571428575","0.25892857142857134","0.32440476190476186","0.13095238095238096","0.13095238095238096","0.13095238095238093","0.3482142857142856","0.16369047619047622","0.16369047619047622","0.16369047619047622","0.21130952380952378","0.21130952380952378","0.21130952380952384","0.08333333333333331","0.08333333333333331","0.08333333333333331"
"10080","0.6815476190476175","0.16964285714285715","0.07440476190476192","0.26785714285714285","0.13988095238095236","0.03273809523809526","0.03273809523809526","0.03273809523809526","0.20535714285714288","0.482142857142857","0.419642857142857","0.16964285714285715","0.16964285714285712","0.1696428571428571","0.2857142857142857","0.19345238095238096","0.07440476190476192","0.07440476190476192","0.0744047619047619","0.29464285714285704","0.26785714285714285","0.26785714285714285","0.26785714285714285","0.13988095238095238","0.13988095238095238","0.13988095238095238","0.03273809523809526","0.03273809523809526","0.03273809523809526"
"10416","0.6488095238095226","0.255952380952381","0.10714285714285715","0.20238095238095238","0.1101190476190476","0.0714285714285714","0.0714285714285714","0.0714285714285714","0.3273809523809525","0.40476190476190477","0.35416666666666663","0.255952380952381","0.255952380952381","0.255952380952381","0.24404761904761904","0.22619047619047616","0.10714285714285715","0.10714285714285715","0.10714285714285716","0.27083333333333337","0.20238095238095238","0.20238095238095238","0.20238095238095238","0.11011904761904762","0.11011904761904762","0.11011904761904763","0.0714285714285714","0.0714285714285714","0.0714285714285714"
"10752","0.5714285714285705","0.27976190476190477","0.12499999999999997","0.1547619047619048","0.23214285714285712","0.125","0.125","0.125","0.34523809523809523","0.3988095238095238","0.363095238095238","0.2797619047619047","0.2797619047619047","0.2797619047619047","0.1964285714285714","0.2797619047619047","0.125","0.125","0.12499999999999997","0.30059523809523814","0.15476190476190477","0.15476190476190477","0.1547619047619048","0.2321428571428571","0.2321428571428571","0.2321428571428571","0.125","0.125","0.125"
"11088","0.836309523809522","0.3482142857142857","0.13392857142857142","0.18154761904761907","0.4851190476190476","0.0625","0.0625","0.0625","0.40178571428571397","0.532738095238095","0.6279761904761904","0.34821428571428575","0.34821428571428575","0.3482142857142857","0.2648809523809524","0.5","0.13392857142857142","0.13392857142857142","0.1339285714285714","0.5238095238095237","0.18154761904761907","0.18154761904761907","0.18154761904761907","0.48511904761904756","0.48511904761904756","0.48511904761904756","0.0625","0.0625","0.0625"
"11424","0.75892857142857","0.31845238095238093","0.14583333333333331","0.1607142857142857","0.2678571428571428","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.3720238095238096","0.5238095238095237","0.5416666666666665","0.31845238095238093","0.31845238095238093","0.31845238095238093","0.20535714285714288","0.2857142857142857","0.14583333333333334","0.14583333333333334","0.14583333333333334","0.31845238095238093","0.1607142857142857","0.1607142857142857","0.1607142857142857","0.2678571428571428","0.2678571428571428","0.2678571428571428","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"11760","0.6726190476190463","0.15773809523809523","0.17559523809523808","0.19642857142857142","0.3363095238095238","0.1398809523809524","0.1398809523809524","0.1398809523809524","0.25297619047619047","0.36904761904761896","0.45535714285714274","0.15773809523809523","0.15773809523809523","0.15773809523809523","0.27083333333333337","0.3630952380952381","0.1755952380952381","0.1755952380952381","0.17559523809523808","0.36607142857142855","0.19642857142857142","0.19642857142857142","0.19642857142857142","0.3363095238095237","0.3363095238095237","0.3363095238095238","0.1398809523809524","0.1398809523809524","0.1398809523809524"
