"points","all_attributes","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"37632","1.0000000000000002","0.9999999999999998","0.9999999999999999","1.0","1.0000000000000004","1.0000000000000002","1.0","1.0000000000000002","0.9999999999999999","1.0000000000000002","0.9999999999999999","1.0","0.9999999999999998","1.0000000000000002","0.9999999999999999","1.0000000000000002","1.0000000000000002","1.0","1.0","0.9999999999999998","0.9999999999999999","0.8379858366271411","0.9156751860556209","0.8612021730228252","0.8643691245593419","0.8002444761955636","0.8735127790834312","0.8968798962005482","0.837835055905708","0.8722586840793364","0.8455738347042694","0.9248188405797102","0.8749176548089594","0.8638611437524483","0.8359221993732864","0.8638611437524478"
"37680","1.0000000000000004","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0000000000000004","1.0000000000000002","1.0","1.0000000000000002","1.0","1.0","1.0","0.9999999999999999","0.56875","0.5999999999999999","0.6312500000000001","0.615625","0.6625000000000002","0.6468750000000001","0.5618749999999999","0.6087499999999999","0.5193749999999999","0.6399999999999999","0.499375","0.5506249999999999","0.5462499999999999","0.5618749999999999","0.4587499999999999"
"37728","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","0.7394670406732118","0.7899485741000469","0.8237681159420289","0.804249649368864","0.7628003740065451","0.8230668536699393","0.7146283309957925","0.7853810191678354","0.7220603360558809","0.7522627395979429","0.7349509116409538","0.7771014492753623","0.8185507246376812","0.7718840579710144","0.7071014492753622"
"37776","0.9999999999999997","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999998","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999998","1.0","1.0","0.6280961981566817","0.6620823732718893","0.7106854838709676","0.6323444700460829","0.6960685483870966","0.6804435483870968","0.45895737327188935","0.5231854838709677","0.46068548387096775","0.49294354838709675","0.5218894009216589","0.4787586405529954","0.5218894009216588","0.47652649769585254","0.3656394009216589"
"37824","0.9999999999999998","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0000000000000002","1.0","1.0000000000000002","1.0","1.0000000000000002","1.0000000000000002","0.4312480547774665","0.43392468098350456","0.48266417678182394","0.39841269841269833","0.49813258636788066","0.5112667289137878","0.35549330843448484","0.463056333644569","0.4435107376283848","0.4524431995020231","0.2686896981014628","0.3921257391845628","0.43305322128851553","0.40538437597261134","0.38468720821662006"
"37872","1.0000000000000002","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0000000000000002","1.0","1.0","0.7465326094595544","0.8322940825075551","0.9389934289127839","0.8096565552744396","0.8360663082437276","0.8979988052568699","0.8124800144071966","0.8775014934289129","0.9184961170848269","0.8365068697729989","0.7310209343594067","0.7507901995923819","0.8136486225314499","0.6485911255183078","0.7505246767165648"
"37920","0.9999999999999994","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999997","0.9999999999999997","0.9999999999999997","0.9999999999999999","0.9999999999999997","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","1.0","0.8764731947369518","0.9201545134182705","0.9201545134182703","0.8365139604228786","0.8194056654920032","0.8168711032800213","0.8834033613445373","0.8537087912087908","0.7946936839251829","0.8194056654920032","0.8714040703129884","0.9201545134182703","0.9201545134182705","0.8168711032800215","0.8593648998060759"
"37968","0.9999999999999993","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999997","0.9999999999999996","0.9999999999999996","0.9999999999999993","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999997","0.9999999999999998","0.7530987394957981","0.8122676955397542","0.9154411764705878","0.8345063025210082","0.8955094537815123","0.9160451680672266","0.8144170168067222","0.8955094537815123","0.9160451680672266","0.9160451680672264","0.7892069327731088","0.8515271493212667","0.873161764705882","0.8319327731092436","0.8530724789915962"
"38016","0.9999999999999996","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","0.7304836707410236","0.7675138994991935","0.8099614845938374","0.711820940497411","0.7799369747899159","0.8249737394957983","0.6837381164587044","0.7306600670571259","0.7403738010355656","0.7603317842288431","0.707110760971055","0.7762864994482643","0.8213232641541466","0.7724596277905103","0.727009591715474"
"38064","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999997","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.5780723905723903","0.5521464646464646","0.7307299182299181","0.5164622414622413","0.7469336219336218","0.7210076960076959","0.48881673881673865","0.7225829725829724","0.6739718614718615","0.7063792688792688","0.42878186628186626","0.7095658970658969","0.6933802308802306","0.6706950456950457","0.6933621933621932"
