"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"10752","0.5810402679879438","0.26523630954150657","0.08985647499129099","0.10106531434331531","0.24421731186867984","0.0","0.0","0.0"
"11088","0.837833814336771","0.3417638627357298","0.1462596566636688","0.16584511396531856","0.5006793097673852","0.0","0.0","0.0"
"11424","0.7606364931420928","0.29177257228289566","0.09049193440128869","0.0999282515270293","0.18442689916041594","0.0","0.0","0.0"
"11760","0.6723977280475624","0.12113138806199564","0.13076052448982914","0.10375211682078944","0.33903865282626444","0.0","0.0","0.0"
"12096","0.7463713891671244","0.31784864831424475","0.12556505625251194","0.16910287044481104","0.2562327342162797","0.0","0.0","0.0"
"12432","0.6997989760622136","0.18737757968857874","0.14875490255245777","0.20622162983414882","0.16512115278551565","0.0","0.0","0.0"
"12768","0.6890983776291547","0.2376807257125319","0.09251474289957665","0.2173930081940315","0.37798161199608576","0.0","0.0","0.0"
"13104","0.6278642139116434","0.16151094923180787","0.09459881573229031","0.08741525082067134","0.19381958794234938","0.0","0.0","0.0"
"13440","0.5416564247156351","0.13614861016176807","0.16557127083442874","0.2006694511628722","0.18484396634067685","0.0","0.0","0.0"
"13776","0.5317686862554467","0.10243403304044035","0.07526655901941942","0.12945327589001993","0.1711777365177169","0.0","0.0","0.0"
"14112","0.6374075382944897","0.17704364889893243","0.13240331446777143","0.30409823697440375","0.17786561481337992","0.0","0.0","0.0"
"14448","0.6432884834602106","0.14800441269728215","0.13309144537319667","0.2713483080816976","0.19801979248151935","0.0","0.0","0.0"
"14784","0.6795184567515644","0.2396066449020001","0.11829413532593964","0.3439625148797247","0.2084578122974295","0.0","0.0","0.0"
"15120","0.6235174653890247","0.23403009157475557","0.08044153599649767","0.2755392253235924","0.17065350646857738","0.0","0.0","0.0"
"15456","0.7246810586941521","0.26818710022034314","0.15109332001135325","0.3945507601594572","0.2521378992449079","0.0","0.0","0.0"
"15792","0.6469790204411282","0.2105815049131781","0.1645488721804511","0.2314788569890199","0.231823164048228","0.0","0.0","0.0"
"16128","0.6480864187072675","0.1250969097316346","0.052979230670762927","0.3828565969398512","0.13110732733953798","0.0","0.0","0.0"
"16464","0.556473183114888","0.06322590619825644","0.05392128992359409","0.26965058750773035","0.1555758373730724","0.0","0.0","0.0"
"16800","0.4401719223191819","0.09114556327981768","0.03873710904978048","0.15935189099540054","0.14156929712397062","0.0","0.0","0.0"
"17136","0.6333582693264672","0.14973963189512646","0.04074219046292578","0.20215662508654414","0.22769676709652809","0.1414912453275625","0.1414912453275625","0.1414912453275625"
"17472","0.9973739495798315","0.2866503635880483","0.13079044406900203","0.32588577938134583","0.2512745924076077","0.9006081195019814","0.8826260887067661","0.8453050785531604"
"17808","0.9210110152962876","0.1661524099918647","0.17543416768899323","0.20254831067948792","0.20954331768509915","0.07025637274659807","0.1253603358687174","0.5325775017032771"
"18144","0.8619375085577585","0.06123224377990471","0.08005241575346378","0.2508972356674503","0.0728417035983744","0.18091825669214964","0.058273636017079126","0.1793088733472765"
"18480","0.8869493533992436","0.11641100530755935","0.05009091725086476","0.19706784694123164","0.10166632512254396","0.19878930072554718","0.1609365308752844","0.166992036097905"
"18816","0.9088185278284794","0.17585479444743446","0.08818415685748174","0.3813578523062817","0.23670151184002208","0.4189840109327906","0.12745618248978471","0.1713424676137137"
"19152","0.8071647146303544","0.1395784193186992","0.051732850694289054","0.19843614080991895","0.13093536126039226","0.1406675560906827","0.1291501692974784","0.25113416490056395"
"19488","0.8292432398213118","0.09812596159313207","0.045300718180601385","0.05464109562118413","0.1275428124876057","0.0881356466531428","0.12241872894823427","0.2446329702525737"
"19824","0.7238574005212051","0.164155212163549","0.0695849606050006","0.10403075709844323","0.060518639948491035","0.14095905229294714","0.07386998681321072","0.1368618788575826"
"20160","0.9139272046264678","0.27653487250680797","0.19852481110714576","0.3756670090041675","0.07043367714039322","0.4080289546097235","0.1234734581926568","0.22502048497805338"
"20496","0.8262059284692713","0.16064104345441882","0.05064757450599287","0.0695318507694083","0.07064348854621214","0.1617378750441976","0.06955427309812817","0.31310036746179953"
"20832","0.8170861800072756","0.18658203814431035","0.13795521818586676","0.13868919956030348","0.1365926677196351","0.27391540826189675","0.10457207189153245","0.25444626307001617"
"21168","0.8309647435216954","0.09702768873172811","0.0991781194056448","0.11416251616047528","0.13900067334406696","0.12262585691829128","0.09297898751869862","0.2676154912342021"
"21504","0.8727930715163144","0.0896650907957316","0.08196810741087832","0.18154821984180589","0.07675084485649258","0.21255782056372585","0.054398584979499405","0.2679954235374662"
"21840","0.7953250381717425","0.16712689311771267","0.09053514457921652","0.1471285142901682","0.055946333667242096","0.14117666011788257","0.07211878196078475","0.13744694400829985"
"22176","0.8548594696064753","0.143062034002998","0.05552903082953997","0.24378410745989423","0.13297434327016977","0.10343749450825292","0.11073205077390294","0.16203093800939666"
"22512","0.9263417757204983","0.13226833393281628","0.09139469832348901","0.33393984684937955","0.16426518599022313","0.308057045091941","0.11029914571878467","0.36260261087186774"
"22848","0.7524269799204878","0.16988190182584653","0.07777983614092646","0.25290710610532807","0.10017823288786501","0.2325044982003721","0.15597365994916995","0.222534068870878"
"23184","0.933429958975199","0.1793435574715035","0.1325102610484705","0.25568787825921463","0.19899508085033504","0.23173691582276917","0.20678028981015767","0.383449354332405"
"23520","0.8274717183802933","0.1697461020283162","0.06313141947216358","0.25418605895863156","0.13493488059617825","0.20798069180272","0.14090782901751597","0.16002061732835327"
"23856","0.9584203383545471","0.216700719661246","0.07691485948064897","0.21199474127105705","0.13410968624784414","0.088096801254696","0.19478619018092702","0.21229107939634256"
"24192","0.9487929278755883","0.2679856826932593","0.08562448552622041","0.22046674490722673","0.2476214801815405","0.17782144857529447","0.2467603406471494","0.2346964685377873"
"24528","0.9206038662419087","0.3369489246029159","0.05924407764741709","0.46209070840443617","0.3178893276723985","0.4256458233589425","0.1269797640968367","0.1923008059407217"
"24864","0.8345528574231811","0.302962030069681","0.15555123152766165","0.37849781886103495","0.157501468142539","0.35090570007864025","0.09923397067546583","0.1665558280228952"
"25200","0.8125548499468969","0.24067681420138157","0.1095844474700703","0.3177116967284799","0.1611129763760798","0.22484119028278532","0.0663263741460015","0.37756642396781037"
"25536","0.8261336703913926","0.21697473364735953","0.14942410992897265","0.19432705095248004","0.10492891690689174","0.17256623525216205","0.09103832023239919","0.2155173630717109"
"25872","0.8079098459732001","0.09831951387449925","0.10220145436179033","0.185597625492126","0.18207064166321318","0.10683798802493438","0.12377899334334852","0.334113315245545"
"26208","0.8185816804494841","0.2355797419894199","0.10375658334377624","0.2237617993012155","0.15570849357028305","0.24204425964353068","0.20945359733285002","0.13027599575734433"
"26544","0.7964146424366438","0.21527337325726995","0.07792054751158706","0.3669030945139045","0.19718203644782087","0.31630064371215527","0.19818499686962698","0.2443174531144876"
"26880","0.8363786838993068","0.14464197865930667","0.1034510333490766","0.2631414483706578","0.26269872914916353","0.24351409949573605","0.10660906315497543","0.12653813985410214"
"27216","0.9526300518180786","0.2342929299035734","0.13150617422965977","0.4159354604090353","0.44884540589022287","0.37679409170518113","0.43326581962458255","0.36628154540364655"
"27552","0.8701417068501756","0.2737311809577435","0.0736754435356409","0.32810901391287906","0.1795017085929915","0.2990956549241911","0.3162643155961412","0.1494236100527219"
