"points","all_attributes","date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"1800","0.0","0.9029411764705884","0.2829562594268477","0.16561085972850675","0.13947963800904978","0.0","0.0","0.0","0.9735294117647056"
"1900","0.0","0.8000891265597149","0.1742095588235294","0.3429278074866311","0.2753698752228164","0.0","0.0","0.0","0.9999999999999994"
"2000","0.0","0.8521334503950834","0.32768576901588314","0.4247801766568229","0.32910274829063246","0.0","0.0","0.0","1.0"
"2100","0.0","0.8808041140719962","0.3422249710265452","0.6848531535869042","0.22724944701457644","0.0","0.0","0.0","0.9898507462686567"
"2200","0.0","0.8926458616010855","0.23563557959279208","0.456102827695007","0.453853707365252","0.0","0.0","0.0","0.9999999999999998"
"2300","0.0","0.96625","0.13509100041749295","0.3565994546498278","0.43593202040496815","0.0","0.0","0.0","1.0"
"2400","0.0","0.9999999999999998","0.23169930576180575","0.6199358974358975","0.1483531024156024","0.0","0.0","0.0","0.9999999999999998"
"2500","0.0","0.9562162162162162","0.2877544021294022","0.37705808080808084","0.29557193557193556","0.0","0.0","0.0","0.9999999999999996"
"2600","0.0","0.9235714285714286","0.1435213858270581","0.25631341172832767","0.1519185856160646","0.0","0.0","0.0","0.9799562324929973"
"2700","0.0","0.8807763105242097","0.13361472589035614","0.14998387354941975","0.3165091236494597","0.0","0.0","0.0","1.0000000000000004"
"2800","0.0","0.8360000000000001","0.13391666666666668","0.3440000000000001","0.12616666666666668","0.0","0.0","0.0","0.9910000000000003"
"2900","0.0","0.768695652173913","0.23086956521739133","0.508","0.3202608695652174","0.0","0.0","0.0","1.0"
"3000","0.0","0.853050505050505","0.38909392841458057","0.7612260101010101","0.34099818840579715","0.0","0.0","0.0","0.9713636363636363"
"3100","0.0","0.8514204545454545","0.17011201298701295","0.2927694805194805","0.14969805194805197","0.0","0.0","0.0","0.985178571428571"
"3200","0.0","0.8402272727272727","0.18815656565656566","0.32547979797979804","0.3822979797979798","0.0","0.0","0.0","0.9999999999999996"
"3300","0.0","0.8851651651651651","0.1321621621621622","0.22083811083811083","0.33705347392847396","0.0","0.0","0.0","0.9787499999999998"
"3400","0.0","0.9206818181818182","0.1659184752934753","0.15248805623805625","0.11272130084630087","0.0","0.0","0.0","0.9905555555555554"
"3500","0.0","0.8555555555555556","0.3526931401931402","0.5393960206460208","0.3274173742923743","0.0","0.0","0.0","0.9767857142857141"
"3600","0.0","1.0","0.19132303693707203","0.12264507422402159","0.15932723546758637","0.0","0.0","0.0","1.0000000000000004"
