"points","all_attributes","date_day_period_nswprice","date_day_period_nswdemand","date_day_period_vicprice","date_day_period_vicdemand","date_day_period_transfer","date_day_nswprice_nswdemand","date_day_nswprice_vicprice","date_day_nswprice_vicdemand","date_day_nswprice_transfer","date_day_nswdemand_vicprice","date_day_nswdemand_vicdemand","date_day_nswdemand_transfer","date_day_vicprice_vicdemand","date_day_vicprice_transfer","date_day_vicdemand_transfer","date_period_nswprice_nswdemand","date_period_nswprice_vicprice","date_period_nswprice_vicdemand","date_period_nswprice_transfer","date_period_nswdemand_vicprice","date_period_nswdemand_vicdemand","date_period_nswdemand_transfer","date_period_vicprice_vicdemand","date_period_vicprice_transfer","date_period_vicdemand_transfer","date_nswprice_nswdemand_vicprice","date_nswprice_nswdemand_vicdemand","date_nswprice_nswdemand_transfer","date_nswprice_vicprice_vicdemand","date_nswprice_vicprice_transfer","date_nswprice_vicdemand_transfer","date_nswdemand_vicprice_vicdemand","date_nswdemand_vicprice_transfer","date_nswdemand_vicdemand_transfer","date_vicprice_vicdemand_transfer","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"3696","0.6755952380952368","0.5833333333333328","0.3124999999999997","0.0","0.0","0.0","0.6011904761904757","0.5119047619047619","0.5119047619047619","0.5119047619047619","0.26785714285714285","0.2678571428571428","0.2678571428571428","0.0","0.0","0.0","0.3749999999999997","0.2291666666666666","0.22916666666666666","0.22916666666666663","0.2113095238095238","0.2113095238095238","0.21130952380952384","0.0","0.0","0.0","0.2678571428571428","0.26785714285714285","0.26785714285714285","0.16666666666666669","0.16666666666666669","0.16666666666666669","0.19642857142857142","0.19642857142857142","0.19642857142857142","0.0","0.6755952380952366","0.5833333333333327","0.5833333333333329","0.5833333333333328","0.3124999999999998","0.3124999999999997","0.3124999999999996","0.0","0.0","0.0","0.6011904761904759","0.6011904761904758","0.6011904761904757","0.5119047619047619","0.5119047619047619","0.5119047619047619","0.26785714285714285","0.26785714285714285","0.26785714285714285","0.0","0.37499999999999983","0.37499999999999983","0.3749999999999998","0.22916666666666666","0.22916666666666666","0.22916666666666666","0.21130952380952384","0.21130952380952384","0.21130952380952378","0.0","0.2678571428571428","0.2678571428571428","0.2678571428571429","0.16666666666666669","0.1964285714285714"
"4032","0.6160714285714272","0.48511904761904723","0.2916666666666664","0.0","0.0","0.0","0.5357142857142851","0.3898809523809523","0.38988095238095233","0.3898809523809524","0.24107142857142855","0.24107142857142858","0.24107142857142855","0.0","0.0","0.0","0.3541666666666666","0.2886904761904762","0.2886904761904762","0.2886904761904763","0.15773809523809523","0.15773809523809523","0.15773809523809526","0.0","0.0","0.0","0.2380952380952381","0.2380952380952381","0.2380952380952381","0.1607142857142857","0.1607142857142857","0.1607142857142857","0.12797619047619047","0.12797619047619047","0.12797619047619047","0.0","0.6160714285714272","0.48511904761904723","0.48511904761904723","0.48511904761904734","0.2916666666666664","0.29166666666666646","0.29166666666666635","0.0","0.0","0.0","0.5357142857142851","0.5357142857142853","0.5357142857142853","0.3898809523809523","0.38988095238095233","0.38988095238095233","0.24107142857142855","0.2410714285714286","0.2410714285714286","0.0","0.35416666666666646","0.3541666666666664","0.3541666666666664","0.28869047619047616","0.28869047619047616","0.28869047619047616","0.1577380952380952","0.15773809523809523","0.15773809523809518","0.0","0.23809523809523808","0.23809523809523814","0.2380952380952381","0.1607142857142857","0.12797619047619047"
"4368","0.7499999999999983","0.6755952380952372","0.2529761904761903","0.0","0.0","0.0","0.6666666666666661","0.6101190476190476","0.6101190476190474","0.6101190476190474","0.1845238095238095","0.18452380952380948","0.18452380952380948","0.0","0.0","0.0","0.6369047619047614","0.568452380952381","0.568452380952381","0.5684523809523809","0.13988095238095233","0.13988095238095233","0.13988095238095236","0.0","0.0","0.0","0.5833333333333334","0.5833333333333333","0.5833333333333333","0.5386904761904762","0.538690476190476","0.538690476190476","0.125","0.125","0.125","0.0","0.7499999999999983","0.6755952380952372","0.6755952380952372","0.6755952380952372","0.25297619047619024","0.2529761904761902","0.25297619047619035","0.0","0.0","0.0","0.666666666666666","0.6666666666666661","0.666666666666666","0.6101190476190474","0.6101190476190476","0.6101190476190476","0.18452380952380953","0.18452380952380945","0.18452380952380948","0.0","0.6369047619047616","0.6369047619047615","0.6369047619047615","0.5684523809523809","0.5684523809523809","0.5684523809523809","0.13988095238095238","0.13988095238095238","0.13988095238095233","0.0","0.5833333333333333","0.5833333333333333","0.5833333333333333","0.538690476190476","0.125"
"4704","0.8065476190476172","0.7083333333333321","0.3154761904761902","0.0","0.0","0.0","0.6904761904761896","0.5684523809523807","0.5684523809523808","0.5684523809523808","0.2738095238095237","0.2738095238095238","0.2738095238095238","0.0","0.0","0.0","0.48214285714285676","0.39880952380952384","0.3988095238095238","0.39880952380952384","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.0","0.0","0.0","0.37202380952380953","0.37202380952380953","0.3720238095238095","0.3363095238095238","0.3363095238095238","0.3363095238095238","0.13988095238095238","0.13988095238095238","0.13988095238095238","0.0","0.8065476190476171","0.7083333333333323","0.7083333333333323","0.7083333333333323","0.3154761904761902","0.3154761904761902","0.3154761904761903","0.0","0.0","0.0","0.6904761904761897","0.6904761904761896","0.6904761904761899","0.5684523809523809","0.5684523809523809","0.568452380952381","0.2738095238095237","0.2738095238095237","0.2738095238095238","0.0","0.4821428571428568","0.48214285714285693","0.48214285714285693","0.39880952380952384","0.3988095238095238","0.39880952380952384","0.16666666666666663","0.16666666666666669","0.16666666666666663","0.0","0.37202380952380953","0.3720238095238095","0.37202380952380953","0.3363095238095238","0.13988095238095238"
"5040","0.7499999999999982","0.6636904761904753","0.39285714285714235","0.0","0.0","0.0","0.6636904761904755","0.5327380952380952","0.5327380952380952","0.5327380952380953","0.32738095238095244","0.32738095238095233","0.3273809523809522","0.0","0.0","0.0","0.4940476190476188","0.380952380952381","0.38095238095238104","0.38095238095238093","0.22321428571428575","0.2232142857142857","0.2232142857142857","0.0","0.0","0.0","0.4047619047619047","0.4047619047619047","0.4047619047619047","0.3422619047619048","0.3422619047619048","0.34226190476190477","0.1607142857142857","0.1607142857142857","0.1607142857142857","0.0","0.7499999999999982","0.6636904761904754","0.6636904761904752","0.6636904761904754","0.3928571428571424","0.3928571428571424","0.3928571428571425","0.0","0.0","0.0","0.6636904761904755","0.6636904761904757","0.6636904761904755","0.5327380952380952","0.5327380952380953","0.5327380952380951","0.3273809523809522","0.32738095238095233","0.3273809523809524","0.0","0.49404761904761885","0.49404761904761885","0.4940476190476189","0.380952380952381","0.380952380952381","0.38095238095238093","0.2232142857142857","0.2232142857142857","0.2232142857142857","0.0","0.4047619047619047","0.40476190476190477","0.4047619047619047","0.34226190476190477","0.16071428571428567"
"5376","0.7916666666666649","0.711309523809523","0.3363095238095234","0.0","0.0","0.0","0.7113095238095233","0.6517857142857141","0.6517857142857143","0.6517857142857143","0.2827380952380952","0.2827380952380952","0.2827380952380952","0.0","0.0","0.0","0.5178571428571427","0.30952380952380953","0.30952380952380953","0.30952380952380953","0.20238095238095238","0.20238095238095233","0.20238095238095238","0.0","0.0","0.0","0.4136904761904763","0.41369047619047616","0.4136904761904761","0.2767857142857143","0.2767857142857143","0.2767857142857143","0.1547619047619047","0.1547619047619047","0.1547619047619047","0.0","0.7916666666666647","0.711309523809523","0.711309523809523","0.7113095238095228","0.3363095238095235","0.3363095238095234","0.33630952380952345","0.0","0.0","0.0","0.7113095238095232","0.7113095238095232","0.7113095238095231","0.6517857142857143","0.6517857142857142","0.6517857142857143","0.28273809523809523","0.2827380952380951","0.28273809523809507","0.0","0.5178571428571426","0.5178571428571426","0.5178571428571426","0.30952380952380953","0.3095238095238095","0.3095238095238096","0.20238095238095236","0.20238095238095233","0.20238095238095233","0.0","0.4136904761904763","0.41369047619047616","0.41369047619047616","0.2767857142857143","0.1547619047619047"
"5712","0.7767857142857125","0.699404761904761","0.3214285714285712","0.0","0.0","0.0","0.684523809523809","0.5803571428571428","0.5803571428571427","0.5803571428571426","0.24999999999999994","0.24999999999999997","0.24999999999999997","0.0","0.0","0.0","0.5654761904761901","0.47023809523809523","0.47023809523809523","0.47023809523809534","0.1785714285714286","0.17857142857142858","0.17857142857142855","0.0","0.0","0.0","0.48511904761904767","0.48511904761904767","0.4851190476190477","0.37202380952380953","0.37202380952380953","0.37202380952380953","0.13392857142857142","0.13392857142857142","0.1339285714285714","0.0","0.7767857142857123","0.699404761904761","0.699404761904761","0.6994047619047611","0.32142857142857123","0.3214285714285711","0.3214285714285712","0.0","0.0","0.0","0.6845238095238091","0.6845238095238091","0.6845238095238088","0.5803571428571428","0.5803571428571427","0.5803571428571428","0.24999999999999997","0.25","0.25","0.0","0.5654761904761899","0.5654761904761904","0.5654761904761899","0.47023809523809523","0.47023809523809523","0.4702380952380953","0.17857142857142855","0.17857142857142852","0.17857142857142855","0.0","0.4851190476190477","0.4851190476190477","0.48511904761904767","0.37202380952380953","0.13392857142857142"
"6048","0.48809523809523725","0.30654761904761885","0.22023809523809512","0.0","0.0","0.0","0.3392857142857141","0.19345238095238096","0.193452380952381","0.19345238095238096","0.16369047619047616","0.16369047619047616","0.1636904761904762","0.0","0.0","0.0","0.34821428571428575","0.1607142857142857","0.1607142857142857","0.1607142857142857","0.1488095238095238","0.14880952380952384","0.14880952380952378","0.0","0.0","0.0","0.26190476190476186","0.2619047619047619","0.26190476190476186","0.1339285714285714","0.1339285714285714","0.1339285714285714","0.12500000000000003","0.12500000000000003","0.12500000000000003","0.0","0.4880952380952372","0.30654761904761896","0.3065476190476189","0.30654761904761885","0.22023809523809512","0.22023809523809504","0.22023809523809512","0.0","0.0","0.0","0.3392857142857141","0.33928571428571425","0.3392857142857141","0.19345238095238096","0.19345238095238093","0.193452380952381","0.1636904761904762","0.16369047619047616","0.16369047619047622","0.0","0.3482142857142857","0.3482142857142856","0.34821428571428564","0.16071428571428567","0.16071428571428567","0.1607142857142857","0.1488095238095238","0.1488095238095238","0.1488095238095238","0.0","0.2619047619047619","0.2619047619047619","0.26190476190476186","0.1339285714285714","0.12500000000000003"
"6384","0.6934523809523795","0.5982142857142851","0.29464285714285693","0.0","0.0","0.0","0.5684523809523804","0.5178571428571428","0.5178571428571429","0.5178571428571427","0.14285714285714285","0.14285714285714288","0.14285714285714285","0.0","0.0","0.0","0.5059523809523808","0.46428571428571425","0.4642857142857143","0.4642857142857143","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.0","0.0","0.0","0.4672619047619047","0.46726190476190477","0.4672619047619047","0.4642857142857142","0.46428571428571425","0.4642857142857142","0.05357142857142855","0.05357142857142855","0.05357142857142855","0.0","0.6934523809523796","0.5982142857142853","0.5982142857142853","0.5982142857142851","0.29464285714285693","0.29464285714285693","0.29464285714285693","0.0","0.0","0.0","0.5684523809523806","0.5684523809523807","0.5684523809523805","0.5178571428571427","0.5178571428571429","0.5178571428571427","0.1428571428571429","0.1428571428571429","0.1428571428571429","0.0","0.5059523809523808","0.5059523809523808","0.5059523809523809","0.4642857142857143","0.4642857142857142","0.4642857142857143","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.0","0.46726190476190477","0.4672619047619047","0.46726190476190477","0.4642857142857142","0.05357142857142855"
"6720","0.5029761904761895","0.40773809523809484","0.16964285714285707","0.0","0.0","0.0","0.3898809523809522","0.32142857142857145","0.3214285714285715","0.32142857142857145","0.11011904761904762","0.11011904761904763","0.11011904761904763","0.0","0.0","0.0","0.2976190476190475","0.16369047619047616","0.16369047619047616","0.1636904761904762","0.12202380952380952","0.12202380952380953","0.1220238095238095","0.0","0.0","0.0","0.22619047619047622","0.2261904761904762","0.22619047619047622","0.14583333333333331","0.14583333333333331","0.14583333333333331","0.0654761904761905","0.0654761904761905","0.0654761904761905","0.0","0.5029761904761897","0.40773809523809507","0.4077380952380949","0.4077380952380949","0.169642857142857","0.16964285714285704","0.16964285714285698","0.0","0.0","0.0","0.389880952380952","0.389880952380952","0.3898809523809521","0.32142857142857145","0.32142857142857145","0.3214285714285714","0.11011904761904764","0.11011904761904763","0.11011904761904762","0.0","0.29761904761904756","0.2976190476190475","0.2976190476190476","0.1636904761904762","0.16369047619047616","0.16369047619047616","0.12202380952380952","0.12202380952380952","0.1220238095238095","0.0","0.22619047619047622","0.22619047619047625","0.22619047619047622","0.14583333333333331","0.0654761904761905"
