"points","all_attributes","date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"8500","0.0","0.288","0.032","0.09400000000000003","0.05600000000000001","0.0","0.0","0.0","0.5120000000000003"
"9000","0.856","0.27999999999999997","0.03199999999999999","0.04400000000000001","0.078","0.0","0.0","0.0","0.9500000000000007"
"9500","0.14400000000000002","0.288","0.03199999999999999","0.18200000000000002","0.12200000000000001","0.0","0.0","0.0","0.6180000000000004"
"10000","0.0","0.288","0.032","0.17200000000000004","0.05800000000000001","0.0","0.0","0.0","0.5600000000000004"
"10500","0.0","0.288","0.034","0.18799999999999997","0.12200000000000003","0.0","0.0","0.0","0.6000000000000004"
"11000","0.0","0.288","0.036000000000000004","0.158","0.36800000000000005","0.0","0.0","0.0","0.7560000000000006"
"11500","0.0","0.288","0.03799999999999999","0.16399999999999998","0.276","0.0","0.0","0.0","0.6560000000000005"
"12000","0.0","0.288","0.039999999999999994","0.09999999999999999","0.188","0.0","0.0","0.0","0.6000000000000004"
"12500","0.0","0.288","0.039999999999999994","0.186","0.07799999999999996","0.0","0.0","0.0","0.5800000000000004"
"13000","0.0","0.28800000000000003","0.03799999999999999","0.09600000000000002","0.09600000000000002","0.0","0.0","0.0","0.5480000000000004"
"13500","0.0","0.28800000000000003","0.036000000000000004","0.11600000000000002","0.12200000000000001","0.0","0.0","0.0","0.5260000000000004"
"14000","0.0","0.288","0.034","0.14400000000000002","0.07400000000000001","0.0","0.0","0.0","0.5380000000000004"
"14500","0.0","0.288","0.032","0.30200000000000005","0.20600000000000002","0.0","0.0","0.0","0.6020000000000004"
"15000","0.0","0.27999999999999997","0.03199999999999999","0.136","0.142","0.0","0.0","0.0","0.5800000000000004"
"15500","0.0","0.288","0.03199999999999999","0.22199999999999998","0.128","0.0","0.0","0.0","0.6520000000000005"
"16000","0.0","0.28800000000000003","0.032","0.396","0.136","0.0","0.0","0.0","0.6580000000000005"
"16500","0.0","0.288","0.034","0.21600000000000003","0.08","0.0","0.0","0.0","0.5500000000000004"
"17000","0.0","0.28800000000000003","0.036000000000000004","0.128","0.092","0.15200000000000002","0.15200000000000002","0.15200000000000002","0.5020000000000003"
"17500","0.0","0.288","0.03799999999999999","0.36000000000000004","0.30800000000000005","0.8699999999999999","0.848","0.8460000000000001","0.9940000000000008"
"18000","0.712","0.288","0.039999999999999994","0.364","0.14400000000000002","0.316","0.134","0.236","0.9540000000000007"
"18500","0.28800000000000003","0.288","0.039999999999999994","0.25","0.172","0.17400000000000002","0.24800000000000003","0.13199999999999998","0.8940000000000007"
"19000","0.0","0.28800000000000003","0.03799999999999999","0.18600000000000003","0.128","0.16199999999999998","0.21400000000000002","0.15200000000000002","0.8140000000000006"
"19500","0.0","0.288","0.036000000000000004","0.134","0.254","0.218","0.244","0.312","0.8040000000000006"
"20000","0.0","0.288","0.034","0.35600000000000004","0.07199999999999998","0.43200000000000005","0.14400000000000002","0.224","0.7840000000000006"
"20500","0.0","0.288","0.032","0.11800000000000001","0.06799999999999998","0.066","0.15200000000000002","0.19199999999999995","0.7120000000000005"
"21000","0.0","0.27999999999999997","0.03199999999999999","0.13800000000000004","0.10199999999999998","0.15799999999999997","0.17200000000000001","0.23000000000000004","0.8040000000000006"
"21500","0.0","0.28800000000000003","0.03199999999999999","0.054000000000000006","0.038000000000000006","0.066","0.13","0.14599999999999994","0.8220000000000006"
"22000","0.0","0.288","0.032","0.18799999999999997","0.12","0.134","0.13000000000000003","0.14600000000000002","0.7360000000000005"
"22500","0.0","0.288","0.034","0.24","0.07000000000000002","0.264","0.134","0.308","0.8860000000000007"
"23000","0.0","0.288","0.036000000000000004","0.48000000000000004","0.21799999999999997","0.43000000000000005","0.2720000000000001","0.23199999999999998","0.8660000000000007"
"23500","0.0","0.288","0.03799999999999999","0.07200000000000004","0.07400000000000004","0.054000000000000034","0.11200000000000002","0.14","0.8080000000000006"
"24000","0.0","0.288","0.039999999999999994","0.216","0.14200000000000002","0.28400000000000003","0.18999999999999995","0.222","0.8900000000000007"
"24500","0.0","0.288","0.039999999999999994","0.3320000000000001","0.264","0.32000000000000006","0.10200000000000001","0.168","0.8860000000000007"
"25000","0.6719999999999999","0.288","0.03799999999999999","0.30000000000000004","0.09400000000000003","0.18000000000000005","0.08800000000000001","0.278","0.9180000000000007"
"25500","0.6719999999999999","0.288","0.036000000000000004","0.10400000000000001","0.138","0.08800000000000002","0.04800000000000002","0.15800000000000003","0.8660000000000007"
"26000","0.0","0.288","0.034","0.16799999999999998","0.037999999999999964","0.16800000000000004","0.27","0.24800000000000003","0.7700000000000006"
"26500","0.0","0.288","0.032","0.196","0.104","0.16799999999999998","0.16600000000000004","0.166","0.7520000000000006"
"27000","0.0","0.27999999999999997","0.03199999999999999","0.16399999999999998","0.15000000000000002","0.192","0.196","0.30000000000000004","0.8380000000000006"
"27500","0.896","0.288","0.03199999999999999","0.396","0.066","0.388","0.17600000000000005","0.148","0.9920000000000008"
"28000","0.10399999999999998","0.288","0.032","0.132","0.09","0.17399999999999993","0.19000000000000006","0.40800000000000003","0.9180000000000007"
"28500","0.0","0.28800000000000003","0.034","0.07000000000000002","0.332","0.07599999999999997","0.478","0.198","0.8040000000000006"
"29000","0.0","0.28800000000000003","0.036000000000000004","0.15999999999999992","0.21400000000000002","0.17600000000000002","0.126","0.28400000000000003","0.7780000000000006"
"29500","0.0","0.288","0.03799999999999999","0.04200000000000002","0.264","0.12399999999999997","0.374","0.252","0.8980000000000007"
"30000","0.0","0.288","0.039999999999999994","0.252","0.06200000000000001","0.19400000000000006","0.178","0.088","0.7320000000000005"
"30500","0.0","0.288","0.039999999999999994","0.11800000000000001","0.114","0.09200000000000004","0.212","0.06400000000000003","0.7220000000000005"
"31000","0.0","0.288","0.03799999999999999","0.041999999999999996","0.062","0.06000000000000003","0.078","0.07999999999999996","0.7140000000000005"
"31500","0.0","0.288","0.036000000000000004","0.16600000000000004","0.15400000000000003","0.11","0.202","0.10199999999999995","0.7580000000000006"
"32000","0.0","0.28800000000000003","0.034","0.16800000000000004","0.08600000000000001","0.07199999999999997","0.052","0.13","0.6920000000000005"
"32500","0.0","0.288","0.032","0.128","0.028000000000000025","0.07200000000000004","0.06000000000000001","0.09799999999999996","0.7120000000000005"
"33000","0.0","0.27999999999999997","0.03199999999999999","0.4800000000000001","0.14200000000000002","0.52","0.246","0.6240000000000001","0.9660000000000007"
"33500","0.0","0.288","0.03199999999999999","0.08999999999999994","0.312","0.05199999999999998","0.30000000000000004","0.518","0.8920000000000007"
"34000","0.0","0.28800000000000003","0.032","0.54","0.33199999999999996","0.4820000000000001","0.374","0.28600000000000003","0.8520000000000006"
"34500","0.0","0.288","0.034","0.02599999999999996","0.03200000000000003","0.026000000000000006","0.21999999999999997","0.21600000000000003","0.7620000000000006"
"35000","0.28800000000000003","0.288","0.036000000000000004","0.40399999999999997","0.264","0.43000000000000005","0.14200000000000002","0.20799999999999996","0.8620000000000007"
"35500","0.09600000000000003","0.288","0.03799999999999999","0.194","0.08600000000000001","0.15800000000000003","0.06400000000000003","0.22199999999999998","0.8880000000000007"
"36000","0.28800000000000003","0.288","0.039999999999999994","0.11799999999999998","0.15000000000000002","0.10999999999999999","0.11800000000000001","0.13199999999999995","0.9220000000000007"
"36500","0.46399999999999997","0.288","0.039999999999999994","0.09400000000000001","0.096","0.132","0.132","0.21200000000000002","0.9460000000000007"
"37000","0.05600000000000002","0.288","0.03799999999999999","0.406","0.356","0.424","0.30600000000000005","0.2","0.8620000000000007"
"37500","0.0","0.28800000000000003","0.036000000000000004","0.02600000000000001","0.058000000000000024","0.11400000000000002","0.128","0.276","0.8500000000000006"
"38000","0.0","0.288","0.034","0.252","0.06000000000000003","0.266","0.156","0.14","0.8240000000000006"
"38500","0.0","0.288","0.032","0.132","0.07599999999999998","0.024000000000000014","0.12","0.084","0.6920000000000005"
"39000","0.0","0.27999999999999997","0.03199999999999999","0.272","0.124","0.11799999999999998","0.12200000000000003","0.05999999999999998","0.7640000000000006"
