"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"720","0.9999999999999998","0.9999999999999999","0.14583333333333331","0.18749999999999994","0.20833333333333337","0.14583333333333331","0.14583333333333331","0.14583333333333331"
"768","0.9999999999999997","1.0","0.47916666666666663","0.5208333333333334","0.4791666666666667","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"816","0.9999999999999997","1.0","0.33333333333333337","0.33333333333333337","0.33333333333333326","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"864","1.0","1.0","0.3333333333333333","0.4166666666666667","0.5416666666666666","0.0","0.0","0.0"
"912","1.0","1.0","0.4166666666666667","0.16666666666666669","0.27083333333333337","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"960","0.9999999999999999","1.0","0.45833333333333337","0.20833333333333334","0.5833333333333334","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"1008","1.0","1.0","0.625","0.7916666666666666","0.6666666666666666","0.625","0.625","0.625"
"1056","0.9999999999999999","1.0","0.1875","0.25","0.20833333333333331","0.1875","0.1875","0.1875"
"1104","0.9999999999999997","1.0","0.1875","0.10416666666666666","0.25","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"1152","0.9999999999999998","1.0","0.0625","0.0625","0.14583333333333337","0.06250000000000001","0.06250000000000001","0.06250000000000001"
"1200","0.9999999999999999","1.0","0.3541666666666667","0.1041666666666667","0.5625","0.1041666666666667","0.1041666666666667","0.1041666666666667"
"1248","0.9999999999999998","1.0","0.45833333333333337","0.08333333333333331","0.375","0.0","0.0","0.0"
"1296","1.0","1.0","0.3125","0.16666666666666669","0.4583333333333333","0.1041666666666667","0.1041666666666667","0.1041666666666667"
"1344","0.9999999999999999","1.0","0.27083333333333337","0.16666666666666663","0.2708333333333333","0.10416666666666664","0.10416666666666664","0.10416666666666664"
"1392","1.0","1.0","0.125","0.16666666666666669","0.27083333333333337","0.0","0.0","0.0"
"1440","0.9999999999999997","1.0","0.0625","0.020833333333333356","0.20833333333333334","0.020833333333333356","0.020833333333333356","0.020833333333333356"
"1488","0.9999999999999996","1.0","0.08333333333333334","0.08333333333333329","0.125","0.08333333333333329","0.08333333333333329","0.08333333333333329"
"1536","1.0","1.0","0.3125","0.3125","0.5","0.27083333333333337","0.27083333333333337","0.27083333333333337"
"1584","0.9999999999999996","1.0","0.1875","0.14583333333333334","0.375","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"1632","0.9999999999999998","1.0","0.33333333333333337","0.35416666666666663","0.3333333333333333","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"1680","0.9999999999999999","1.0","0.25","0.2916666666666667","0.5625","0.25","0.25","0.25"
"1728","0.9999999999999998","0.9999999999999999","0.16666666666666666","0.29166666666666663","0.22916666666666669","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"1776","0.9999999999999999","1.0","0.33333333333333337","0.3333333333333333","0.35416666666666674","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"1824","1.0","1.0","0.10416666666666666","0.35416666666666663","0.12499999999999999","0.062499999999999986","0.062499999999999986","0.062499999999999986"
"1872","0.9999999999999998","1.0","0.3333333333333333","0.18749999999999997","0.5208333333333334","0.12499999999999999","0.12499999999999999","0.12499999999999999"
"1920","0.9999999999999998","1.0","0.22916666666666669","0.3333333333333333","0.2916666666666667","0.0625","0.0625","0.0625"
"1968","0.9999999999999999","1.0","0.3333333333333333","0.6041666666666666","0.5416666666666667","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2016","0.9999999999999998","1.0","0.37499999999999994","0.4791666666666667","0.3958333333333333","0.29166666666666663","0.29166666666666663","0.29166666666666663"
"2064","0.9999999999999998","1.0","0.20833333333333331","0.8333333333333333","0.22916666666666666","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"2112","0.9999999999999998","1.0","0.3541666666666667","0.41666666666666663","0.3125","0.27083333333333337","0.27083333333333337","0.27083333333333337"
