"points","all_attributes","date_day_period","date_day_nswprice","date_day_nswdemand","date_day_vicprice","date_day_vicdemand","date_day_transfer","date_period_nswprice","date_period_nswdemand","date_period_vicprice","date_period_vicdemand","date_period_transfer","date_nswprice_nswdemand","date_nswprice_vicprice","date_nswprice_vicdemand","date_nswprice_transfer","date_nswdemand_vicprice","date_nswdemand_vicdemand","date_nswdemand_transfer","date_vicprice_vicdemand","date_vicprice_transfer","date_vicdemand_transfer","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"35280","0.9178114248127885","0.6135438115414058","0.7723847455880006","0.5987889196556635","0.7694749048084164","0.5885123651635888","0.6665148166061388","0.5823706106277677","0.5046059849390511","0.5648603207286982","0.46961993919555106","0.6111504298863233","0.5968563639454885","0.5701699345758205","0.5775593698185169","0.6113714659063911","0.576768940265317","0.4654946340419434","0.5239306778055589","0.5875541089828924","0.5506044304155494","0.5388721109401495","0.6382616583762937","0.48259966439388513","0.6226850634065826","0.4459400388874431","0.5676992195798622","0.6178760617522794","0.5771741998124451","0.6187793407864981","0.6407357124629636","0.5773822840888946","0.4450054077556156","0.5416596860029088","0.5958667163837632","0.6329627178344213","0.5417618621786774","0.5642392105729596","0.45947879858102003","0.5305205815266102","0.5649447250851979","0.5131783146721375","0.40706894931621707","0.4758017156798042","0.49337254918598455","0.5457834983865515","0.4803636324781489","0.45975864973771224","0.5247746703021114","0.5229362101681833","0.4750537829305054","0.4392995577629695","0.5700566922606005","0.48368928825985147","0.4583029240378077","0.4142978921459558","0.5147674507951593"
"35616","0.9026772447854996","0.3759143638108945","0.5246798635450515","0.364075343888701","0.5392581925856587","0.47632142919279513","0.5037989536513108","0.3608968489391479","0.331896033538148","0.33107381469541286","0.3582230341479836","0.44693065088778605","0.3214932164699706","0.24608067249402568","0.33543167610695634","0.3225348916676945","0.323060938304657","0.31733012418896894","0.33911171254979955","0.3110990577882716","0.307075976709796","0.42814670924881504","0.5778430638368779","0.46062240380828023","0.5643411059312228","0.4453348446852521","0.5456768098238174","0.5431396549302951","0.4750696232316365","0.5691762608973943","0.5578419058540838","0.5492303765259281","0.4742462367800189","0.5461917864590086","0.5500218727395244","0.5826832381206222","0.5808562841947695","0.43911409004086316","0.34748859069134225","0.40892998070830006","0.4677561050894239","0.4242586047757868","0.36738623766378564","0.4750731566172951","0.3860839405001386","0.46480117604520677","0.47924854699032654","0.32910668276576494","0.36375305900794286","0.38583124421747117","0.2885187854797759","0.32465277119910185","0.4737669416101641","0.3519263371777792","0.4079384687639438","0.4275937916914041","0.4280034225022866"
"35952","0.999999999999997","1.0","0.9999999999999998","1.0","0.9999999999999999","1.0","1.0000000000000002","0.7319564984194125","0.7737805340275917","0.7261035175801556","0.7946860643493885","0.8245070053200743","0.7381868266650186","0.7261033905817611","0.7618493830670156","0.7560302437595128","0.7291803872899919","0.7827103845766848","0.7977000231431277","0.7616488809252308","0.7620582883453855","0.7827208178602693","0.6669340809734305","0.39311799904446765","0.6343360128861669","0.4257175981933131","0.5508598144675516","0.6607854946963531","0.6071944896421682","0.6489853812961058","0.7563556841124667","0.6308972551977661","0.419581543300097","0.5419415437280177","0.6162458423649291","0.7207470288561107","0.526910431391765","0.514855556699272","0.3745410738271965","0.5150038405730715","0.5714844421566825","0.4937942426317521","0.3538857973824999","0.45865172950105015","0.4733951315424886","0.5444978816229213","0.3460180701547977","0.3989093514001577","0.4671746660013485","0.5502417056288601","0.38697305266472487","0.4432372437303047","0.49039403603697673","0.4432991977043616","0.5356673305704183","0.3575566629102917","0.4723868810086367"
"36288","0.985262653751811","0.9226279449454489","0.9353659764018964","0.8998306531608153","0.941875885802416","0.9101971626003931","0.956726354049762","0.8019776166628652","0.7434798658594728","0.8142161167362991","0.7453044586473079","0.7511744918475367","0.8291882679429897","0.7655631412184876","0.8280066654632681","0.8376100034600635","0.8532217030765807","0.6981849729184499","0.754420622579203","0.8473022595127226","0.8491534156575715","0.7167418548148841","0.8096584559521371","0.435465281251322","0.8160173479444105","0.4448060921238588","0.5633660873717621","0.77151369162786","0.7797533028911734","0.7705602504310642","0.8139565208173942","0.7875859295082652","0.39605949494821713","0.5228892934973777","0.8040454191360991","0.8334204485416421","0.48131410155659793","0.758251322602526","0.750750663613229","0.7696746374546588","0.8048415270395355","0.7594351968264982","0.3690496144559037","0.4905548072091943","0.7976865271438256","0.8218761939805621","0.49327289924704687","0.7512282627971978","0.7519507563937098","0.8069707694040478","0.7599119536468952","0.7709772520873266","0.7684211778391544","0.7855658526715174","0.8148617942485953","0.4857458636833787","0.7757941809999287"
"36624","0.9412858508814819","0.8182292774899531","0.8912527560263988","0.8245853967693628","0.8769882972787488","0.8109408948090115","0.8167987533209474","0.7861140652846785","0.741234237373893","0.7659805408692849","0.7599797256244386","0.7224250004061045","0.7991960903911894","0.8000490740814443","0.789070029445624","0.7878384643665528","0.7645823794515492","0.7466872226927701","0.7223465416904165","0.7645823794515492","0.7764667515023027","0.7343820928284588","0.629010139073429","0.4771411384104237","0.5923163083203125","0.5130759751830078","0.5460755570445097","0.6052741744202312","0.5512502949371396","0.622993460231608","0.6257723281510116","0.5741258114707192","0.4543412515808114","0.47083140565132325","0.5880921221393596","0.590612690183911","0.4527570012436515","0.5205001741454011","0.5241260054801168","0.5644622804649035","0.5669554241302077","0.4843155504082348","0.35223377142897805","0.3437719477847797","0.5316700358374222","0.5204984987322097","0.371188520835578","0.5118481231818202","0.5475228412751416","0.5052276330805304","0.5043997035018902","0.4967479798702749","0.4918557663434866","0.5046914356324433","0.4690098045729806","0.3311193195432446","0.464568539180145"
"36960","0.8758708881314305","0.2866039801474112","0.5562167935489891","0.42098356783469476","0.5082402568128306","0.36332253480798904","0.342082551275235","0.39802718140177784","0.357391026367605","0.43154617698863285","0.28835881956214665","0.22133084525591712","0.4685470906438154","0.4290606265526094","0.4577237212469576","0.4606551018324493","0.446148578491337","0.3695961706529216","0.3683551402069275","0.46777575082380246","0.4881874046541502","0.30692302973389696","0.6662633319092988","0.5274829218963296","0.625753841570238","0.46102319644755085","0.4746319959379405","0.7312273917569951","0.606164844119091","0.7134570846218882","0.7115892615258308","0.6449238060686424","0.5325373991069008","0.5445595066766307","0.6754971787274112","0.6478962707195364","0.5103972067678362","0.558395700865739","0.5038740032361355","0.5241866350633546","0.5594825129768011","0.5150610706727572","0.4634837312304053","0.4461361947374292","0.531085497641098","0.5513533282255412","0.40190533306789766","0.5361367539650024","0.5730555885415438","0.5689712756144036","0.5176831075570825","0.5217034720257736","0.5082389390409323","0.5464069503352282","0.5506490361794323","0.4666695313446804","0.5363355784284201"
"37296","0.8361799329923811","0.33080043204705656","0.4294991385831539","0.31982304579045573","0.4500684632614031","0.2800144502252866","0.37065709734950014","0.27975825255856474","0.1946940767765331","0.22075881010698278","0.23627759304727242","0.25126188391491383","0.25189364016188853","0.2281816429075042","0.20151414960369846","0.27853811495419534","0.24495045054303666","0.1735874121619792","0.20291198805317068","0.21506858075297622","0.22171191406099522","0.17986482250572822","0.5660871869468678","0.41985670389305985","0.5866143405426382","0.40724908422610406","0.5125070123483368","0.5398424724167206","0.5612470362957058","0.5023201077444501","0.6021748164820149","0.5651538512251808","0.41062366508110826","0.4915916567583023","0.5458656868529845","0.5717119033987039","0.4360972276611373","0.3992799173305077","0.35872587625600405","0.3876568295815273","0.4802789517533926","0.339449216840246","0.2985996411224028","0.3452101492247537","0.3722444287944935","0.36917267593413783","0.35758154754396926","0.3705493376969758","0.3377970982167915","0.3862003777642987","0.3230809175470005","0.3518299102700072","0.34558298032206003","0.3077118125422227","0.3092810765623517","0.275109565707121","0.30232175420861973"
"37632","0.8930078442980205","0.28477454542672265","0.4698234046059537","0.3096920650408928","0.41531117571610254","0.2903351166814165","0.423686228171956","0.25515237781060274","0.14862567753735859","0.23133840837330102","0.1973025927054458","0.4442409179388895","0.20988018539695913","0.22168170894575948","0.23412027417808481","0.442824061302618","0.19328151425303794","0.18974017116862818","0.42053578162611926","0.2540106734890392","0.4394860093226056","0.39118234605565416","0.5945422801841987","0.379291163982153","0.533082851117981","0.36024487200493105","0.6096323483243296","0.5735143850367392","0.5404803737085968","0.5688199748081868","0.6785562232821136","0.5248058265542446","0.3820093045747077","0.5621990833043538","0.5352472361756185","0.6208999681154792","0.5217943073277693","0.364630384829052","0.36085059430461797","0.40278907703333655","0.5752954804092366","0.3363303105154319","0.28261557024180134","0.514785913009572","0.38306474409577906","0.5702032767655354","0.4837294345305436","0.32367042813914965","0.31079851811168957","0.506945836823424","0.3240485416111689","0.49764500183026583","0.49496053985781063","0.30257489477945604","0.49944118725871245","0.4512773998820011","0.5058924326080447"
"37968","0.8653034618263389","0.34689011157419825","0.34841377413025415","0.28847945495283955","0.2747003919653076","0.3319649794094417","0.401256966889472","0.3542550590700429","0.24834075578941267","0.23939820913168558","0.3095659592263792","0.4029096321770523","0.36065698364006527","0.28495509502046135","0.3368804781236721","0.408670397731664","0.23086714637072822","0.3453831181154472","0.2915065364679418","0.32157722943311506","0.27864744367059635","0.3282347430701655","0.5932936509716762","0.44374457364211367","0.5051066559936972","0.47747401458436645","0.592584364265671","0.5012192322624823","0.4229033219930458","0.5494047536463686","0.5701977357771912","0.4163810984447336","0.4393598098771067","0.5223408353508736","0.4633755899796252","0.49722357743941603","0.5616932931314346","0.47952010988224625","0.3905739925029058","0.49795601177927395","0.5604404764060846","0.3854751576033777","0.40153868843087814","0.5218655464637666","0.40309637596338566","0.48693466965176235","0.5089621765126973","0.3963724854645946","0.44715850787640654","0.5047651008096049","0.381098046599778","0.4360428423355085","0.4937872033699815","0.39213272306555563","0.3888853667582777","0.4311165876820075","0.3982222634212206"
"38304","0.8907161857184067","0.3321829855627477","0.5067074528076797","0.32240359863484613","0.353868394060977","0.29956039013789215","0.4783678897957915","0.30303776297286955","0.14514869091334742","0.2662193003814845","0.20545571212702574","0.270121981146458","0.31756079933759557","0.2829579789224973","0.3242840065351662","0.38938269066328673","0.2453622803553715","0.19780079961929553","0.2697030652586071","0.255127397829357","0.3214276674254961","0.3069498594931629","0.6148470099732191","0.40985561300220286","0.4634733181410786","0.39847211835590246","0.6170547510010347","0.5702668517703802","0.544072939304631","0.5563338265655184","0.6874991557951486","0.45098952437274087","0.39960176265755115","0.5879797442846444","0.42829406929905345","0.6140630580863258","0.6377103522126715","0.39937272395634515","0.3837178576420581","0.43174308761927205","0.5155766301751793","0.32453036214016273","0.2844717624505672","0.36722518328876885","0.3390494638273951","0.45242987205272533","0.4144573334540763","0.3385167293008785","0.38694979389314155","0.4614975360904101","0.3529814428372215","0.4466576442284593","0.48336995490691687","0.31378144410183983","0.40939914939865574","0.41220309736705807","0.4189745923152456"
"38640","0.710383042351433","0.1721623124640366","0.29218970019975765","0.1907574067056826","0.15661717752234994","0.1697048574562942","0.34233160942931057","0.18568278119283865","0.123411528871299","0.16264340039483716","0.1389007304955581","0.30082914637512337","0.14501044400469687","0.12770440367423128","0.1775554040999443","0.2775850665936873","0.1245440689047011","0.10651738640244388","0.265480152297681","0.13096137180188902","0.2109901805304104","0.26186409110259684","0.40015265439116016","0.27234126691741645","0.29779795821462485","0.25427008336491086","0.4608151586599863","0.371785500844409","0.3256944883022469","0.34708925998437495","0.4646342083842084","0.25648228554119357","0.2565339354132457","0.44516706021734764","0.2366592459264873","0.3877386595418205","0.43770513756145946","0.2616889961358352","0.2699196729728338","0.2853607625877741","0.40964278112266617","0.21070701993834173","0.1822863160147643","0.38240306548496206","0.21785442367338917","0.3539062828933518","0.35863283826645886","0.1736282887504152","0.2081150969082004","0.33841626259011315","0.20878565346956152","0.29343492554699446","0.3329052373233408","0.17774975264199405","0.3025339722537998","0.3328153434475274","0.28497403910478625"
"38976","0.7744416748906698","0.22710806077215318","0.4389211348397771","0.25822859824296607","0.241036205163061","0.2208492824557839","0.30351561996078275","0.3871181684340209","0.1758344439768051","0.14298047121921642","0.13640825359276026","0.22052407657352574","0.4102851481368604","0.4069784138076164","0.39572389161409754","0.4430383617464556","0.12956525362984897","0.1496295671433363","0.24325914496981305","0.12221067233639073","0.22071767322006783","0.2291711515699782","0.5137284754876352","0.34604600845620964","0.33141204106841093","0.3045035282583175","0.47641297130790666","0.49814823381484064","0.4988847305268522","0.49279755771314704","0.5788743114413614","0.34223163850348975","0.3390610335877937","0.45450282276790904","0.31016462013977586","0.39871404216171935","0.40486788885825054","0.4449979873366488","0.4520479126756068","0.43134029269386076","0.5102812931356993","0.23236544080653274","0.22869634140736872","0.34539380776958595","0.19300437726563202","0.3188533140311158","0.3100687490324702","0.4608577241524441","0.4489747561422011","0.48453043465465645","0.4400747325989783","0.502491736691629","0.46399588154856347","0.20939050063211936","0.2855705290855554","0.31189215954242294","0.2852333550624379"
"39312","0.8642045454545457","0.30823863636363635","0.4357954545454545","0.271875","0.3053977272727273","0.2778409090909091","0.421875","0.2886363636363637","0.1900568181818182","0.1928977272727273","0.1994318181818182","0.3127840909090909","0.30937499999999996","0.3210227272727273","0.30625","0.31193181818181814","0.19517045454545456","0.15852272727272732","0.2696022727272728","0.16988636363636364","0.2710227272727273","0.2832386363636364","0.585511363636364","0.3883522727272727","0.46335227272727275","0.3894886363636364","0.600284090909091","0.5403409090909091","0.5011363636363637","0.5284090909090909","0.6011363636363638","0.4039772727272728","0.36704545454545456","0.5306818181818181","0.3940340909090909","0.5409090909090908","0.5184659090909092","0.39545454545454556","0.35113636363636364","0.3801136363636364","0.48664772727272726","0.28267045454545453","0.2838068181818182","0.4031250000000001","0.26732954545454546","0.4247159090909091","0.39346590909090906","0.36590909090909085","0.3883522727272727","0.3946022727272727","0.35823863636363634","0.3752840909090909","0.4150568181818182","0.22869318181818182","0.36590909090909085","0.3627840909090909","0.34460227272727273"
"39648","0.8601713024497692","0.2085910135059322","0.2992552752612684","0.34595388053489506","0.2291530839823862","0.22851324557767194","0.4503801943870437","0.19169994947499225","0.28899792980754024","0.16934571296996384","0.17936768241509254","0.38666949082991464","0.3203765629466614","0.22645879634856514","0.24966676218013978","0.3674491274635752","0.37698303973186253","0.347036592533703","0.4216129789358598","0.24001899580078084","0.2871890548608229","0.40159199885762376","0.410477227795828","0.42794844807098653","0.3333739256684462","0.32248409816100304","0.572866344497873","0.4701440342065343","0.3645798590361946","0.4091869362444063","0.5761139252363568","0.47292480823891353","0.4393743695461375","0.6099985263539414","0.3642950780391919","0.5418052908849142","0.592305829832585","0.3797632528636381","0.2760559515161397","0.29575375989117425","0.49237687839731925","0.4066278325856664","0.38518695173500395","0.486108435993389","0.3023957184407742","0.4500785400426881","0.4775279610039883","0.4263067509054239","0.4275304060594086","0.48654574661370464","0.32616436035742546","0.3741209929245032","0.5082326038608145","0.4296763145569866","0.507482375148792","0.5404569143439006","0.5125725134795126"
