"points","all_attributes","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"38976","0.9999999999999993","0.9999999999999996","0.9999999999999997","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999997","0.9999999999999997","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999997","0.9999999999999999","0.9999999999999994","0.9999999999999996","1.0","1.0","0.5625","0.8124999999999998","0.7916666666666664","0.8124999999999997","0.770833333333333","0.8333333333333329","0.770833333333333","0.708333333333333","0.7916666666666664","0.8124999999999998","0.8124999999999999","0.7916666666666662","0.8541666666666665","0.8333333333333333","0.8124999999999997"
"39024","0.9999999999999994","0.9999999999999996","0.9999999999999997","1.0","0.9999999999999997","0.9999999999999999","0.9999999999999996","0.9999999999999998","0.9999999999999997","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999996","0.9999999999999999","0.9999999999999999","0.4791666666666668","0.5000000000000002","0.9166666666666665","0.5000000000000002","0.8958333333333334","0.895833333333333","0.41666666666666674","0.8749999999999999","0.8958333333333335","0.895833333333333","0.3958333333333333","0.6875","0.6874999999999999","0.6874999999999998","0.6874999999999999"
"39072","0.9999999999999993","0.9999999999999999","0.9999999999999999","1.0000000000000002","0.9999999999999994","1.0","0.9999999999999998","0.9999999999999997","0.9999999999999999","0.9999999999999999","0.9999999999999998","1.0000000000000002","0.9999999999999999","1.0","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999997","1.0","0.7083333333333331","0.6874999999999999","0.7916666666666669","0.7083333333333333","0.7708333333333333","0.7916666666666663","0.6250000000000001","0.7499999999999999","0.7291666666666665","0.7499999999999999","0.6458333333333331","0.6666666666666666","0.6875000000000001","0.6458333333333334","0.6041666666666667"
"39120","0.9999999999999993","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999998","0.9999999999999997","1.0","1.0","0.9999999999999996","0.9999999999999999","0.9999999999999998","0.9999999999999997","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999997","0.9999999999999998","0.9999999999999999","0.24999999999999994","0.24999999999999997","0.5208333333333334","0.2291666666666666","0.47916666666666674","0.5000000000000001","0.1875","0.4791666666666667","0.47916666666666685","0.4583333333333333","0.20833333333333331","0.3958333333333334","0.3958333333333334","0.35416666666666674","0.31249999999999994"
"39168","0.9999999999999994","0.9999999999999996","0.9999999999999997","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999996","0.9999999999999999","0.9999999999999996","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","1.0","0.9999999999999997","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","0.45833333333333337","0.39583333333333326","0.6041666666666666","0.4583333333333335","0.6041666666666666","0.6041666666666665","0.2916666666666667","0.5","0.4166666666666668","0.5000000000000001","0.375","0.4583333333333334","0.4166666666666668","0.4583333333333334","0.3125"
"39216","0.9999999999999996","0.9999999999999998","0.9999999999999994","1.0","1.0","0.9999999999999994","1.0","0.9999999999999999","0.9999999999999994","0.9999999999999999","0.9999999999999998","1.0000000000000002","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999997","1.0","1.0","0.770833333333333","0.9166666666666661","0.9374999999999996","0.8958333333333327","0.8958333333333329","0.9583333333333331","0.8958333333333329","0.9166666666666663","0.9583333333333328","0.9583333333333329","0.8749999999999999","0.895833333333333","0.9166666666666663","0.8541666666666665","0.8958333333333331"
"39264","0.9999999999999998","1.0","0.9999999999999994","1.0","1.0","0.9999999999999998","0.9999999999999996","0.9999999999999998","0.9999999999999997","0.9999999999999997","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","1.0","1.0","0.9999999999999997","1.0","0.6249999999999999","0.7708333333333331","0.6666666666666665","0.6666666666666664","0.5416666666666667","0.7500000000000002","0.6666666666666667","0.5833333333333335","0.7499999999999999","0.6874999999999999","0.6458333333333333","0.6041666666666665","0.6874999999999998","0.5416666666666667","0.6041666666666666"
"39312","0.9999999999999996","1.0000000000000002","0.9999999999999998","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999997","0.9999999999999997","0.9999999999999999","1.0","1.0000000000000002","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","1.0","1.0","0.9999999999999999","0.9999999999999999","0.8124999999999999","0.9374999999999998","0.9583333333333331","0.9166666666666664","0.9583333333333331","0.9375","0.7916666666666665","0.9374999999999998","0.9375","0.8958333333333331","0.9374999999999999","0.9166666666666665","0.9374999999999998","0.9166666666666664","0.9166666666666666"
"39360","0.9999999999999997","1.0000000000000002","0.9999999999999999","0.9999999999999998","0.9999999999999999","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999997","1.0","1.0","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.5416666666666666","0.5625000000000001","0.7499999999999996","0.5625000000000002","0.7708333333333331","0.75","0.5000000000000001","0.7291666666666665","0.6874999999999999","0.7083333333333334","0.4166666666666667","0.6250000000000001","0.6666666666666665","0.6666666666666666","0.6041666666666666"
"39408","0.9999999999999996","1.0","0.9999999999999997","0.9999999999999997","0.9999999999999997","1.0000000000000002","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999998","1.0","0.9999999999999996","0.9999999999999997","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999998","0.9999999999999997","1.0","0.9999999999999999","0.5416666666666667","0.5625000000000001","0.6458333333333334","0.5208333333333334","0.5833333333333335","0.6458333333333335","0.33333333333333337","0.5416666666666666","0.5000000000000001","0.5416666666666666","0.5416666666666667","0.5625","0.6041666666666666","0.5833333333333333","0.5624999999999999"
