"points","all_attributes","date_day","date_period","date_nswprice","date_nswdemand","date_vicprice","date_vicdemand","date_transfer","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"23376","0.8734430111040802","0.15101461303958214","0.07364386420653529","0.35120466323098565","0.3057835183126845","0.22005399084409177","0.21696752440094436","0.27217774917085286","0.21254889067461719","0.4064818553693625","0.3565650234983131","0.2979453614039257","0.303654760521965","0.37040240722499396","0.35335289534000774","0.3535854120149431","0.2389474797012481","0.3115268020359391","0.32075772780078543","0.40201389813052624","0.35392389505423727","0.38489730086978624","0.5578786681320085","0.32973710443859056","0.32772423299066766","0.5088760606708435","0.30753852918661007","0.5137670446594645","0.5202789713843354"
"24837","0.8062230233969422","0.24161237390877494","0.2287511802759531","0.3510326321715706","0.2622955457445101","0.32557800328979924","0.2648946741622466","0.25499509484303784","0.15503718882344225","0.2997438095644227","0.25708050903238744","0.28444396325379107","0.25171281893388703","0.2657888034437671","0.27842001974439473","0.2370484336342647","0.26320134150852026","0.22773932880574937","0.13050585267235199","0.3400831809236461","0.2639572650822912","0.3570730874657124","0.28814598062057206","0.33582030505351035","0.22992965471990456","0.2715837650869944","0.37033088804908343","0.27092497176712793","0.24499056210023407"
"26298","0.776253768696891","0.1815570337301725","0.1215887795827956","0.268341410061117","0.18099165730251593","0.24231865439365108","0.13557849886802703","0.19212853931287172","0.16071104802311675","0.2921004294241199","0.21867755188190627","0.2821497570091229","0.19133628352216403","0.24587962349771175","0.2480629568976454","0.2190174510193013","0.23871899106273864","0.2239911321975881","0.23760897905095563","0.3208070547491014","0.23855974757560405","0.320605914590905","0.3192363170584736","0.3338481921831079","0.20878279558024407","0.3335671888325089","0.32457628230462343","0.30938149329076126","0.27790612081281096"
"27759","0.9726715454438226","0.85830457492841","0.8583045749284101","0.8597832169071571","0.85830457492841","0.8583045749284098","0.85830457492841","0.8583045749284098","0.192407932450452","0.3780645285785923","0.2683904405692752","0.3932270952607798","0.25645316076149505","0.46277120014009143","0.3568119618434794","0.20330561745570724","0.3785967051170426","0.24010307743128667","0.45746039802818284","0.3699023109194548","0.38460286528131366","0.36599240378706854","0.46339969993424296","0.398617238997946","0.22008850278074227","0.49157974600482285","0.3970290273222199","0.45091800527380616","0.517004147187365"
"29220","0.7228360191253138","0.08571296474948642","0.048467274122370764","0.08085014767134403","0.12340440948951009","0.05643685361100152","0.193267538272195","0.16445946652064908","0.13555505681574842","0.17935397445102647","0.2359281293883353","0.14241337862063697","0.25495503746396275","0.24921293684084792","0.12271839206498304","0.16620524399669934","0.12920070568368955","0.23845258422511734","0.19933689540701327","0.16622083294752082","0.09697926063357655","0.23233275298371858","0.22329551752581484","0.14116829147908605","0.2386637071413503","0.24130282645119622","0.22318104386142107","0.18866980659921634","0.31465767798204414"
"30681","0.6706275835707828","0.13715829818604544","0.06076147091440789","0.15875029149075326","0.12890820340338627","0.1461376217010495","0.13864093304487415","0.07254861195274143","0.18958866521561088","0.27909588780312233","0.2541840809641561","0.2730936893003133","0.26078978614403303","0.22193848449392223","0.1720899018945808","0.18109958972142848","0.16931715399847452","0.1891505706364695","0.11539786867571965","0.23279921202082693","0.20148100118046064","0.1858120412066874","0.17661241288121526","0.24920328784373588","0.16401370602257892","0.22753886150545566","0.22942556333350522","0.1928735588631929","0.17985476404781495"
"32142","0.7113902372898149","0.13149413832803686","0.09661342846557945","0.04123571547716737","0.11074026898352862","0.12858255919443207","0.16534063988598507","0.2864127015157127","0.20372785389436884","0.21951544047766164","0.2461608292310059","0.21804733214092747","0.23769663856407663","0.3532525799282721","0.1482591897021792","0.18066559283294106","0.16756618407157287","0.21068005923463662","0.326958602159329","0.16019156524642156","0.15377300648541997","0.19243690295723004","0.33881201672086325","0.2250522219304974","0.20900222950382216","0.3712756527501021","0.25385543906506847","0.30421680322182687","0.40770133225993266"
"33603","0.7607151367184","0.08134506544217757","0.16502720297631623","0.06937698825301636","0.11071367986550698","0.06825066093651683","0.1445936504943974","0.12284631559867665","0.20285854448239965","0.17548087594713818","0.21501139982203724","0.19281546963170992","0.21542110209629667","0.2652596441277907","0.1992507851622266","0.21265215268569435","0.190614640414431","0.2366316553880053","0.2377110915015759","0.14712464775266998","0.0873422028776994","0.2104046473505196","0.25848360073235965","0.13917823357505796","0.2553612660725791","0.24704151905368704","0.21394411327025054","0.23437007346821692","0.32251122053562115"
"35064","0.8266053380182494","0.33058016845500315","0.33058016845500315","0.45640128037895566","0.404894898444792","0.4415467795640361","0.3637443958080965","0.39267336485855364","0.15484285522325703","0.3767055806243673","0.3321620461375648","0.37863533918193765","0.27229070894267776","0.2593896581143585","0.3351724774637546","0.3270688824704763","0.3377502384867523","0.2579102985299828","0.24609702324031732","0.41346078479142667","0.3491478473286863","0.3747092730990555","0.4170911090646306","0.3956566155571969","0.303298322321764","0.2803096235730653","0.3546728791337769","0.39405252573551985","0.2625336279848988"
"36525","0.9073600557481942","0.6685152226720321","0.6685152226720323","0.6685152226720323","0.6686568167066251","0.6685152226720323","0.6685152226720323","0.6685152226720323","0.15030092418104546","0.31650123901789395","0.3517151936272271","0.292322293253377","0.21099521267120264","0.1651503740558419","0.2211875772664525","0.3169966343272894","0.21185657458357776","0.20131610135605155","0.1631919536214435","0.33544918929366113","0.22774233380336595","0.28760060294037204","0.24129610367437326","0.334570802419765","0.3277381507462442","0.3244515180001436","0.2999077173259834","0.23966352198403132","0.24329064902106232"
"37986","0.75810511978348","0.13711388557558024","0.0830900561252268","0.363825254382394","0.12839554305162448","0.33061923310325747","0.1873932791880808","0.1901445692094308","0.22940263033089725","0.42925457878451256","0.21153654136741168","0.3586811078208809","0.23681962018358238","0.30678980611217443","0.3830173811812321","0.2044395102872283","0.3693469126219582","0.23690673491831088","0.2463185376221249","0.4252192237739822","0.4023138277963191","0.42301288673101206","0.42128170455429675","0.39171041694511","0.22602389500550374","0.2632285228066622","0.39539730839763254","0.3840832893326296","0.3427563113489842"
"39447","0.7824275008606345","0.1691142966728825","0.14813823243568475","0.22974592661482635","0.3524110703395694","0.15865238056217357","0.2568849040061165","0.1482245303790556","0.15536553305849948","0.24707491873379447","0.35555712007028173","0.16674594331427478","0.24476611278450092","0.19146418958334613","0.18676791820910738","0.35197337719586447","0.10902012610977319","0.20508341040050587","0.18699741533641082","0.3472942683074507","0.16926088622340996","0.23682448777086335","0.1782475228436966","0.36458363857661197","0.33850898946480446","0.3552617263295478","0.22800023963540952","0.09438096020993447","0.26744033654859206"
"40908","0.8316975089390412","0.2050639812637089","0.13149665794187043","0.22189036933740847","0.33192018495740505","0.2101834330858815","0.24488551197821223","0.1712921146577734","0.1794459943536092","0.3052543219156393","0.328362856982075","0.23557290250584317","0.26968193699946674","0.26585124518547715","0.21561738578734477","0.2941093637499972","0.19117508773338665","0.30083294818504447","0.15323795752214936","0.2928551805960465","0.19882739265411276","0.24600414896222353","0.2561647629432737","0.27634874720029806","0.30909212540780606","0.32570432583092157","0.23346924746632397","0.2258979448204208","0.32101224830952024"
"42369","0.7762696899181956","0.1148854713897744","0.10657234838665118","0.15162907778324092","0.1554017952502396","0.09987776421864787","0.12750464602856615","0.13725765700066245","0.15946948073358846","0.2267131136551639","0.21417506435990774","0.18605553249095516","0.18513467323883515","0.2975940659280819","0.2117105279231075","0.2123337630005753","0.1728428495814057","0.175151218815358","0.20805185837705678","0.2288817884922117","0.16736922449475472","0.2245013496059793","0.24366049295137676","0.20690308124123336","0.2630409706439024","0.2756436958526921","0.17607638677656431","0.21278064123989426","0.18247148298205781"
"43830","0.7222877543522939","0.14101502845481695","0.10094975654796046","0.13376835446799548","0.08736925001393081","0.101337297566654","0.11484790351647328","0.09437004495565676","0.2157115850126083","0.2709242228016223","0.23196864929852673","0.2229439086541015","0.21636818962299953","0.24634197556539603","0.21636289724655694","0.16843126544849518","0.17054153505318087","0.230711795397244","0.19906512373419222","0.21408246456676477","0.14438145780237105","0.17931868200732645","0.22435645839743143","0.17842301763629975","0.20110372278767666","0.18624149260718048","0.13889160723135047","0.205258275327532","0.18727581679809385"
