"points","all_attributes","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"9744","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.25","0.5416666666666666","0.12499999999999997","0.12499999999999997","0.12499999999999997","0.5833333333333334","0.125","0.125","0.125","0.47916666666666663","0.47916666666666663","0.47916666666666663","0.0","0.0","0.0"
"9792","1.0","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","0.338536180244438","0.47715215818664086","0.2541637978627543","0.2541637978627543","0.2541637978627543","0.4710909836533702","0.024457875382330893","0.024457875382330893","0.024457875382330893","0.4272490497252294","0.42724904972522937","0.4272490497252294","0.0","0.0","0.0"
"9840","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.5318715025710827","0.35147033802177857","0.294732430933656","0.294732430933656","0.294732430933656","0.4604814163641862","0.4255795964408146","0.4255795964408146","0.4255795964408146","0.15164032567049807","0.15164032567049807","0.15164032567049807","0.0","0.0","0.0"
"9888","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.2799145299145299","0.29260756604506594","0.21603049728049728","0.21603049728049725","0.21603049728049725","0.27432376651126644","0.18417953574203574","0.18417953574203574","0.18417953574203574","0.21079788267288263","0.21079788267288263","0.21079788267288266","0.0","0.0","0.0"
"9936","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","0.5422483766233765","0.7471590909090909","0.33729707792207797","0.33729707792207797","0.3372970779220779","0.6806412337662338","0.13534902597402598","0.13534902597402598","0.13534902597402598","0.6493912337662338","0.6493912337662338","0.6493912337662338","0.0","0.0","0.0"
"9984","0.9999999999999996","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.5307054057054057","0.16205183705183704","0.09589299589299591","0.09589299589299591","0.09589299589299591","0.553141303141303","0.5052780552780552","0.5052780552780552","0.5052780552780552","0.1171633921633922","0.1171633921633922","0.1171633921633922","0.0","0.0","0.0"
"10032","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","0.18749999999999997","0.6874999999999999","0.0","0.0","0.0","0.6875","0.18749999999999997","0.18749999999999997","0.18749999999999997","0.6875","0.6875","0.6875","0.0","0.0","0.0"
"10080","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.1238241792929293","0.5073252051767677","0.10902383207070707","0.10902383207070707","0.10902383207070707","0.4874487058080808","0.028255208333333337","0.028255208333333337","0.028255208333333337","0.4672664141414141","0.4672664141414141","0.4672664141414141","0.0","0.0","0.0"
"10128","0.9999999999999998","1.0","1.0","0.9999999999999998","1.0","1.0","1.0","0.22731584821428572","0.5463634672619048","0.22731584821428572","0.22731584821428572","0.22731584821428572","0.4516712454212454","0.021784855769230765","0.021784855769230765","0.021784855769230765","0.4458619505494505","0.44586195054945055","0.4458619505494505","0.0","0.0","0.0"
"10176","1.0","1.0","1.0","0.9999999999999998","1.0","1.0","1.0","0.3175763357452162","0.5453917050691244","0.26412306858227164","0.26412306858227164","0.26412306858227164","0.5235377525700107","0.04321753515301901","0.04321753515301901","0.04321753515301901","0.45529953917050686","0.4552995391705069","0.4552995391705069","0.0","0.0","0.0"
