"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_Time_Length","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_Time_Length","AirportTo_Time_Length"
"188415","0.6189061924283457","0.2751953320300505","0.2777392247307843","0.1973237134257778","0.17252379407540763","0.3674954729210669","0.3353735316705151","0.26994333368253254","0.33545012079857756","0.26988328983013044","0.18596168689263246","0.43560398560798863","0.3050950228758602","0.2687341564240726","0.3034456697407258","0.26850658722551435","0.11595030576833745","0.49875653908080564","0.32894045180052645","0.29324512304988276","0.28763579281610463"
"205551","0.49420157325661684","0.22483230663003723","0.2128026067982458","0.15424381768898007","0.12868188844104037","0.32361736847165223","0.2943527414912902","0.24209662337370996","0.2805058501664987","0.23379301933827978","0.15893251618290188","0.35567456454343815","0.255541606153993","0.2227275375529374","0.2361501141961086","0.2114434756344737","0.10641071337434593","0.41745312431636644","0.289626955048931","0.25138740385545827","0.24071725210087744"
"223517","0.44574171881647207","0.18676135705318198","0.18565756991167542","0.097177114927196","0.0973226072255804","0.29313821316585054","0.24243771774569622","0.20345618274119262","0.24249369433277757","0.2006975351664196","0.11281793546235708","0.31568969027905436","0.2061422690573264","0.18506011691404223","0.19908993753280824","0.1810958370537167","0.06694652100595042","0.3869832879220813","0.258711270033148","0.2072026522628298","0.20439272844544154"
"240796","0.38092091701985586","0.17068733491177826","0.16246746501139953","0.0890745608870235","0.07675823181882216","0.2607626829733588","0.21822130761173852","0.17897840005993887","0.21540225063888047","0.17682724788446041","0.1047869994414862","0.2794677956943006","0.1903245421757951","0.16724233926213344","0.18632023929368727","0.16334609510071388","0.06618300397108237","0.33743929398384465","0.2321150138363482","0.1888699203480026","0.18299807457116873"
"258373","0.4666518730475795","0.19619481438060887","0.1794170639747452","0.10082276798686093","0.09079697352961387","0.2947941256878328","0.2622784741897448","0.21101654175161363","0.24428963202231085","0.19904359626088597","0.11803970342680432","0.3147153525384899","0.2202509999489346","0.1929245103834149","0.20112441479452958","0.17400464713364344","0.06652270252123321","0.3946779287301953","0.25993009677505535","0.219340202964893","0.20234611589184143"
"276642","0.47915265925105865","0.1916702704019413","0.18436401686347892","0.10370326772461114","0.09614048995522977","0.2715896783112489","0.23899726126744086","0.1957797010419406","0.22556219934963406","0.19074465219832495","0.11064117458538314","0.3326388829648288","0.22199273423266008","0.19755621515549274","0.20907181109702166","0.18886040216495198","0.06717541925985666","0.3615513258273464","0.24637444830383848","0.21120435332954593","0.20117718489131797"
"295227","0.5977371417080688","0.24879665999759148","0.23558070163937575","0.1538266351184447","0.14573400343690252","0.32014232663580555","0.2781597930120936","0.22784276693363353","0.2680538875104727","0.21681724542407735","0.1288352874445207","0.4011059090029206","0.2627657604208611","0.24262599563590767","0.2542677894809459","0.2318331622034191","0.10289812843490467","0.4391979585760768","0.2838658850833954","0.24407866174550547","0.23019110200716536"
"311213","0.560049093063615","0.2258944714207482","0.21341650821998553","0.1444741397353817","0.12312825856226539","0.30585569063213086","0.26774127938778086","0.2103990936595261","0.26736579941163297","0.2035633538552225","0.13197978603801747","0.3765121600167468","0.2475263861573364","0.22047822492127378","0.2435786024052035","0.20892095686785414","0.09878411508946877","0.42911409081038193","0.26994164501760176","0.2309484571475514","0.22397623598020797"
"328765","0.4240728989039535","0.17293131127855266","0.1693216999114317","0.09520710804312936","0.07525910764047641","0.2704499681002718","0.2305356145964142","0.18579276950193455","0.22658022228847272","0.18444288654321306","0.10622173191215364","0.29929462204582724","0.19926903149254327","0.17510417053630978","0.1979590450323241","0.1724761394782475","0.0679870008999091","0.3562148959676429","0.24105225780666306","0.19775213644777173","0.19884042759623968"
"347094","0.3717336059609751","0.15408547275774612","0.15510659565619017","0.07357204491493322","0.0661075184560192","0.25082439908667414","0.20927552483997236","0.16754449923070713","0.21201290619309063","0.16960946354317707","0.08765859457697846","0.2650366776032195","0.1789290128416189","0.1520882633996361","0.1770193722637139","0.15556183880161095","0.05527324078427686","0.3313755666307374","0.22480941336714905","0.1797372888246827","0.17880107043516627"
