"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_Time_Length","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_Time_Length","AirportTo_Time_Length"
"276642","0.1503940579631345","0.03932028382876346","0.03869600792850403","0.02331029305815714","0.02217634106552168","0.028146172275851165","0.030736431295125873","0.024419637459046108","0.032223825470884024","0.023896634095257503","0.01974264876912783","0.09438279366498098","0.059237200293410425","0.05572492676737897","0.0596516592902043","0.05138135253779812","0.021239323438195092","0.051417764704966604","0.027715729389121573","0.03663419804646319","0.037482375051712744"
"295227","0.3580204948633789","0.13977365720967724","0.14061609463836466","0.1043449573394207","0.10330796912997019","0.13570539476279303","0.12531716866463302","0.10696549755450982","0.13312664185143763","0.10643534575131625","0.07939221502699723","0.216716072622188","0.14109574826049198","0.14064266483374743","0.14768696755477545","0.13913925424590498","0.0774623989157045","0.19070716336034976","0.12163883914971438","0.11512898981658827","0.11457772726276803"
"311213","0.28786156722595874","0.11546678947999207","0.11257489461209218","0.09524764632818523","0.0816431033375717","0.10970532442869928","0.10966787427147848","0.08044775618958241","0.11420160997755033","0.07809862486786176","0.06718198244567002","0.182693421294685","0.1291187831170858","0.11579136701313658","0.12922692098065153","0.11156789595180124","0.07308254197126221","0.16728421410439656","0.0914349223756734","0.10013994554943703","0.09931210747188517"
"328765","0.10878413745061773","0.0489706792633954","0.045805430823717026","0.03607477251729293","0.02661263504248515","0.06044316698440901","0.05948689761576059","0.04797439256339338","0.054605550961502845","0.04626226064637537","0.03868747467599824","0.07614323678129811","0.058637500694413106","0.05205070825640883","0.05636343828612598","0.049624437625009676","0.032506969742197606","0.06830961881120177","0.052661176158666854","0.0519473918000241","0.05015482113042415"
"347094","0.014891509324653484","0.005699298933991013","0.005435446778520042","0.004452946516090873","0.004764828137278486","0.006905667521950182","0.007892035649282082","0.0071529784462392694","0.007836821728804112","0.006775778182012234","0.006053971418045768","0.007504200246505263","0.00947967797706343","0.007618078771249902","0.008402456742631723","0.007290311489202662","0.0053539057498645575","0.011113514173659399","0.008406720929592847","0.009756462747077895","0.009950857226882593"
"365403","0.13318063173565883","0.03177111506393928","0.031054163159344016","0.019810391567780947","0.01899106047757867","0.015109441095275263","0.02072449375444963","0.01498507447311573","0.022162180982098042","0.014637780820699426","0.014431873280327285","0.08241624920002891","0.051724581138449306","0.048051571317331745","0.052849714981296904","0.045084331100927764","0.01919471682503633","0.04025731677181223","0.017664842658234852","0.030013622899446236","0.030208684050921256"
"383939","0.007914750482329647","0.004836843617298584","0.0050397591905427495","0.004067391599005288","0.0042505807624727806","0.006163879794807715","0.005320955689666112","0.0050913721257119056","0.005981669833003859","0.005355803065192958","0.004391283615179538","0.00670102856737458","0.0060185046682872745","0.005745150499402154","0.006119376967861175","0.006019399606306301","0.004144545135431898","0.005751293028532757","0.005762546583557872","0.005272495377064037","0.005217735630613681"
"402506","0.31853382320816737","0.12636208161377344","0.12698396102299464","0.15265308161400026","0.0944176617753726","0.11617737429676067","0.1531939305008478","0.08753900622502211","0.16136265263531152","0.08926178418883762","0.12158140987493907","0.19547979411469785","0.16357580886193543","0.119886384300305","0.17112997692711274","0.11777023235494193","0.11442042216998966","0.21442405902375825","0.09949134711161882","0.14051941436133636","0.1426034897080407"
"417527","0.2503532369671394","0.08884926123231479","0.09278021818026747","0.089869762903126","0.052497193943072167","0.12350776455176311","0.13607170515790865","0.09509197026185348","0.1388655007442342","0.0977240993316044","0.09585704466529846","0.15076495574529764","0.12959359502491685","0.09435200142356402","0.13424178840888015","0.09666400331176908","0.07986829695462003","0.17156073221484022","0.10493505881426023","0.11738379693486285","0.12333419058637748"
"431918","0.36167866331771614","0.1330092423484944","0.13195429880892987","0.1155299634174014","0.09602125037588018","0.1397861356932197","0.15408416903264435","0.10464661341927811","0.15585062151677423","0.10428845492789039","0.09743767306631534","0.21302009060482432","0.15534490890631975","0.13051995070665603","0.15525623115602927","0.12965212863497053","0.08492778795498424","0.23421315436212647","0.12115481852288745","0.13196527543333358","0.13193721893538687"
