"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_Time_Length","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_Time_Length","AirportFrom_AirportTo_Time_Length"
"188415","0.6274564161328134","0.471972978002353","0.42606898003954374","0.364011984747266","0.4288086260144853","0.36710813696106703","0.26917042108218625","0.5634657662598176","0.3944957983193053","0.43290828452590346","0.43529240367472904","0.6069962390549934","0.46427430412721094","0.4375597278538204","0.43880653660062985","0.5230297153826002"
"205551","0.47865268876484546","0.3683330664634387","0.33262052176987655","0.28107483577496967","0.31918691629681595","0.2760126880913017","0.19648966956258251","0.45161675472073726","0.3350594254548432","0.350824043298716","0.34844074183905477","0.46290177821100525","0.36558204583551396","0.33823534608841366","0.3303213609834425","0.41729668230051103"
"223517","0.40840281374116105","0.3214737263395828","0.2768186143116886","0.2424864846052688","0.2822761131515246","0.2450887918989739","0.16497935213479722","0.39537659784818796","0.29732227519006227","0.29705812286065475","0.3022402012941114","0.39745462065462883","0.3161161487346655","0.286040858846004","0.2886445061968924","0.3683556719469152"
"240796","0.37523748532015144","0.2931419365763408","0.2505976703669464","0.21405385886976824","0.25348344097623227","0.21452271930040748","0.13586505454065484","0.3627955674189952","0.26794912484856354","0.26615400896443053","0.27475266343815424","0.36530770237109556","0.28703772271729455","0.2581262750957082","0.2630916077762684","0.34038757901896427"
"258373","0.4305439012130639","0.32170634564842543","0.29669907821862923","0.25110403007917326","0.2826457513420667","0.2361593848230005","0.16066517429423158","0.40739079649516524","0.3030197483037016","0.3166416336731875","0.30462221552304763","0.4148769054952608","0.31673471581901075","0.3030731965763249","0.2914813334656136","0.38167322416212607"
"276642","0.4789766299006869","0.35319391004664974","0.292321119264615","0.25001854846929483","0.28391311897279825","0.24435173081421352","0.1456743277565988","0.39458582323216185","0.28579798392402145","0.2989805962733291","0.29113207041754513","0.46530510254987284","0.3476505279595055","0.3196012957524438","0.3105029398561856","0.37153131953701185"
"295227","0.5974376422523765","0.43010211618788186","0.363352164378726","0.31838552168714906","0.3597370392125405","0.3097613727858038","0.20157663513820442","0.4987845397815701","0.346550299039258","0.3661575481990734","0.3617821869358001","0.5650734377784772","0.42819194667279376","0.3819729437053849","0.3800570084511691","0.46492209469952733"
"311213","0.5505903866885823","0.4044929824649555","0.3411073796226282","0.29430548191609923","0.3445478900692693","0.2902184893778477","0.1991257861681848","0.4772395564669688","0.3256679998941756","0.3479007412023438","0.34835049235766885","0.5277518709111808","0.39622808060974457","0.3598886548519459","0.3567113932074438","0.43795169708089227"
"328765","0.4238293721417884","0.3188356847717139","0.26864443960146206","0.2282480719442211","0.2739306501202025","0.23013531776360543","0.13842613172394957","0.39352978376143216","0.28504868263468786","0.2887225496773354","0.2953347624769789","0.40812343060815864","0.3145693535850232","0.2843512452657606","0.28543659026625817","0.3663549944240647"
"347094","0.3413957010517514","0.26139217551371974","0.2285406258761429","0.19165837362758897","0.23622256613639986","0.19526077426770455","0.12454122704605068","0.33123187584587405","0.2472792900409383","0.24418233709931733","0.25693415130749714","0.3341770731974418","0.25816220735366613","0.23651830284846068","0.24420012391411208","0.3136216538167447"
"365403","0.44220244291911187","0.3220266756695495","0.25540994069745526","0.2220015866549133","0.261025765362574","0.22452847703641035","0.12229971177894643","0.3564088916415372","0.25282354103311344","0.26132809703504817","0.2644963770291329","0.42826215768518994","0.3184867514232543","0.28935352174851736","0.28906036574978294","0.33761806063006117"
"383939","0.3604347617033831","0.2831918389835379","0.24321116290363917","0.21402101602709542","0.242730479489914","0.21029925065329574","0.13061952793344372","0.35135789642995974","0.2664413247602732","0.265446917867204","0.2653744133594463","0.35173977345623","0.27838748917100103","0.25373510518046744","0.25479165796429254","0.3315324652482056"
"402506","0.5737310147439155","0.42808976787806846","0.37768920247798937","0.31940821708874234","0.38700261385556184","0.31370374576255855","0.23854004619740082","0.5150899582401295","0.34881774660732967","0.38531988323474076","0.38719049107628334","0.5566186334124015","0.4180543103284599","0.38962450468843834","0.3986341887555656","0.47851656896699907"
"417527","0.5185902962868328","0.3848911711221573","0.3373765367218472","0.27364291617752196","0.34148614703642916","0.27950675183574203","0.17939425142511548","0.48004167940156417","0.3417850406554081","0.3557260818801992","0.3681892671502367","0.49481898991605866","0.3756297989152497","0.34623139029166045","0.35431117719329375","0.43827272212896534"
