"points","all_attributes","Rcdminutes_Temperature_Humidity","Rcdminutes_Temperature_Light","Rcdminutes_Temperature_Voltage","Rcdminutes_Humidity_Light","Rcdminutes_Humidity_Voltage","Rcdminutes_Light_Voltage","Temperature_Humidity_Light","Temperature_Humidity_Voltage","Temperature_Light_Voltage","Humidity_Light_Voltage"
"700000","0.8037200000000002","0.7804200000000001","0.7823000000000002","0.7717799999999999","0.7316000000000001","0.7301999999999998","0.7292799999999999","0.6985799999999996","0.6866999999999998","0.6947400000000001","0.59376"
"750000","0.8762799999999996","0.8522799999999998","0.8591199999999999","0.8434599999999997","0.8031199999999997","0.7898200000000001","0.7641200000000001","0.81714","0.7684399999999998","0.8040400000000004","0.70346"
"800000","0.9079399999999992","0.8987399999999999","0.8959199999999998","0.8921000000000003","0.89824","0.8983","0.8776800000000001","0.6373399999999999","0.6124199999999999","0.62992","0.4447399999999999"
"850000","0.9007599999999995","0.8831200000000001","0.8797599999999999","0.8750800000000003","0.8828399999999998","0.8854200000000002","0.8697800000000001","0.61796","0.5393400000000003","0.5912600000000003","0.5768800000000001"
"900000","0.8496599999999995","0.76376","0.7130999999999998","0.7821600000000002","0.7324799999999999","0.8150400000000002","0.75992","0.5745399999999999","0.537","0.47454","0.4913400000000001"
"950000","0.9221600000000001","0.9055200000000001","0.78606","0.7802599999999998","0.9048000000000005","0.90226","0.7889199999999998","0.81332","0.7923800000000001","0.42458000000000007","0.7633599999999997"
"1000000","0.9372200000000002","0.8927199999999997","0.83252","0.8604799999999998","0.87956","0.9086400000000001","0.8552800000000002","0.89534","0.8866","0.6385400000000002","0.9061799999999999"
"1050000","0.8803400000000002","0.8684199999999997","0.84276","0.85094","0.7584000000000002","0.8002599999999997","0.7571399999999998","0.6637199999999998","0.5659600000000001","0.50966","0.5968199999999997"
"1100000","0.9399600000000001","0.9233199999999998","0.7273799999999999","0.7280399999999996","0.8781400000000003","0.89572","0.6997999999999999","0.66498","0.58894","0.5742200000000002","0.6469000000000001"
"1150000","0.8161799999999995","0.7262600000000001","0.7975799999999998","0.7071399999999999","0.8031399999999999","0.72034","0.7733799999999997","0.6995800000000001","0.42414000000000013","0.6451199999999999","0.69712"
"1200000","0.8814600000000001","0.7915999999999997","0.8299999999999997","0.7410400000000001","0.8515999999999996","0.7724","0.7632399999999998","0.8626799999999997","0.7587200000000001","0.8301999999999999","0.8145000000000001"
"1250000","0.6889200000000003","0.6576400000000001","0.6437799999999999","0.6455000000000002","0.63022","0.6293199999999999","0.618","0.6184","0.6003200000000003","0.6184599999999999","0.5211400000000002"
"1300000","0.7316599999999999","0.6215000000000002","0.6725800000000001","0.6206400000000001","0.6739799999999999","0.5975400000000001","0.6645000000000001","0.42266000000000004","0.27502","0.40322","0.4086000000000001"
"1350000","0.8404199999999995","0.7795199999999999","0.7556199999999997","0.7333400000000001","0.6918200000000001","0.7432","0.75602","0.5720799999999998","0.37362000000000006","0.5753199999999999","0.5641799999999999"
"1400000","0.9312199999999994","0.89916","0.8018200000000001","0.7394999999999998","0.88964","0.8817600000000002","0.7535399999999997","0.8268200000000001","0.63914","0.7522400000000002","0.8184399999999998"
"1450000","0.8699200000000001","0.75192","0.6567799999999999","0.6002599999999999","0.8137400000000002","0.7249200000000002","0.7050799999999999","0.74932","0.63252","0.6541600000000001","0.75386"
"1500000","0.8475600000000004","0.81414","0.62176","0.5621600000000001","0.7413400000000001","0.7301599999999999","0.58172","0.7368399999999998","0.5095599999999999","0.5596200000000001","0.6492199999999999"
"1550000","0.7648399999999999","0.66966","0.6319199999999999","0.5605000000000001","0.7279","0.6679200000000001","0.31684","0.6794600000000002","0.48031999999999997","0.5397200000000001","0.6178399999999998"
"1600000","0.5852200000000002","0.5539000000000001","0.5599800000000001","0.5337400000000003","0.5382600000000003","0.5352400000000002","0.53658","0.53764","0.4747799999999999","0.5038199999999999","0.41868"
"1650000","0.8489199999999997","0.8239999999999998","0.6754999999999999","0.6771","0.8239399999999999","0.8248199999999999","0.58762","0.7582800000000003","0.74502","0.5129800000000001","0.5581999999999999"
"1700000","0.8995999999999995","0.7453999999999998","0.8332000000000002","0.5479399999999999","0.87752","0.7460000000000001","0.8341000000000002","0.84212","0.6931600000000001","0.7625999999999998","0.75912"
"1750000","0.7418599999999992","0.62968","0.56806","0.53258","0.6667799999999997","0.6507200000000002","0.5062999999999999","0.5609999999999999","0.29413999999999996","0.5128800000000001","0.55082"
"1800000","0.7100399999999993","0.4897599999999999","0.5398999999999998","0.5575800000000001","0.5543199999999999","0.54092","0.58574","0.42500000000000004","0.5244","0.5417800000000002","0.5354399999999999"
"1850000","0.6691400000000001","0.5510000000000002","0.58792","0.5503000000000001","0.53728","0.5319","0.52324","0.5354599999999998","0.36561999999999995","0.48396000000000006","0.4997"
"1900000","0.5600000000000004","0.4711000000000001","0.41961999999999994","0.3603400000000001","0.51634","0.46941999999999984","0.39259999999999995","0.45218","0.32439999999999997","0.36495999999999995","0.4556600000000001"
"1950000","0.47716000000000003","0.37654","0.27818000000000004","0.14276","0.46618000000000004","0.3776999999999999","0.19866000000000006","0.3918799999999999","0.38158","0.21558000000000002","0.3944199999999999"
"2000000","0.46890000000000015","0.31388","0.39632000000000017","0.25028000000000006","0.46404","0.31388000000000005","0.3936199999999999","0.33830000000000016","0.14793999999999996","0.25014000000000003","0.3344599999999999"
"2050000","0.15334","0.08694","0.14143999999999995","0.08152","0.15153999999999998","0.08663999999999998","0.13985999999999998","0.11135999999999999","0.02451999999999999","0.09247999999999999","0.10984000000000001"
"2100000","0.25136","0.21954","0.2510599999999999","0.21953999999999999","0.24733999999999998","0.21574000000000004","0.24734","0.08444000000000002","0.06902","0.08444","0.08203999999999999"
"2150000","0.3854000000000001","0.22554","0.3541600000000001","0.18572000000000002","0.38181999999999994","0.22313999999999998","0.34574000000000005","0.22321999999999997","0.07658000000000002","0.18731999999999996","0.2175"
