"points","all_attributes","Rcdminutes","Temperature","Humidity","Light","Voltage"
"990000","0.5936999999999999","0.5702","0.057100000000000026","0.1316","0.2534","0.09210000000000003"
"1000000","0.6930999999999997","0.42979999999999996","0.32999999999999996","0.33540000000000003","0.5975","0.31160000000000004"
"1010000","0.7646000000000003","0.6715","0.2688","0.5460999999999999","0.022000000000000013","0.08489999999999998"
"1020000","0.9561999999999996","0.3285","0.35540000000000005","0.32999999999999996","0.9559999999999998","0.2886"
"1030000","0.8256999999999995","0.8230999999999999","0.31400000000000006","0.05159999999999998","0.3606","0.18710000000000002"
"1040000","0.2677","0.17689999999999997","0.08679999999999999","0.04210000000000004","0.01580000000000001","0.07129999999999995"
"1050000","0.9397000000000001","0.9397","0.26110000000000005","0.5029","0.20620000000000005","0.05000000000000002"
"1060000","0.7791","0.3567","0.09659999999999998","0.16190000000000002","0.7147","0.0873"
"1070000","0.6646999999999998","0.6433","0.23240000000000002","0.16159999999999997","0.09839999999999999","0.009900000000000025"
"1080000","0.6970000000000002","0.6188","0.5832","0.2102","0.6376","0.07330000000000003"
"1090000","0.5124999999999998","0.3812","0.34099999999999997","0.41429999999999995","0.2421","0.04379999999999998"
"1100000","0.9552999999999997","0.9553","0.4245","0.25229999999999997","0.5111","0.005299999999999985"
"1110000","0.7792000000000001","0.3588","0.5636000000000001","0.34229999999999994","0.739","0.0799"
"1120000","0.6966999999999999","0.6412","0.261","0.03379999999999999","0.062","0.04550000000000002"
"1130000","0.6214000000000001","0.5831999999999999","0.1257","0.19330000000000003","0.1231","0.01789999999999998"
"1140000","0.5720999999999999","0.41679999999999995","0.17510000000000003","0.12339999999999997","0.3861","0.046499999999999986"
"1150000","0.8651999999999997","0.8626","0.1652","0.25059999999999993","0.5052000000000001","0.04"
"1160000","0.5933","0.13740000000000002","0.5405","0.21209999999999998","0.01970000000000001","0.023299999999999974"
"1170000","0.8775999999999999","0.8776","0.1842","0.20020000000000004","0.004000000000000017","0.03210000000000002"
"1180000","0.5017","0.39480000000000004","0.3677","0.014000000000000002","0.003999999999999948","0.04949999999999999"
"1190000","0.6972999999999999","0.6052","0.2141","0.39749999999999996","0.5742","0.026499999999999975"
"1200000","0.7761999999999994","0.6799","0.6908999999999998","0.5929","0.41530000000000006","0.1719"
"1210000","0.5187999999999999","0.32010000000000005","0.19230000000000003","0.14070000000000002","0.0174","0.29949999999999993"
"1220000","0.9408999999999997","0.9387","0.13549999999999998","0.17159999999999997","0.1577","0.010300000000000005"
"1230000","0.7446000000000003","0.2295","0.1678","0.5111","0.7047","0.35359999999999997"
"1240000","0.8102","0.7705","0.6991","0.41770000000000007","0.22320000000000004","0.10189999999999999"
"1250000","0.7212999999999999","0.5736","0.6337999999999999","0.34109999999999996","0.10159999999999997","0.05500000000000001"
"1260000","0.5223","0.4264","0.3472","0.3187","0.014700000000000019","0.08669999999999999"
"1270000","0.9421999999999998","0.9422","0.46009999999999995","0.2979","0.2815000000000001","0.20070000000000002"
"1280000","0.8573000000000001","0.2263","0.6903999999999999","0.5422","0.7955","0.2816"
"1290000","0.8165","0.7737","0.5238999999999999","0.2912","0.05500000000000001","0.17120000000000002"
"1300000","0.5758000000000001","0.4545","0.10720000000000005","0.09459999999999995","0.08409999999999997","0.24320000000000003"
"1310000","0.6781999999999999","0.5455","0.4172","0.3878","0.38239999999999996","0.278"
"1320000","0.8172999999999994","0.7228","0.34409999999999996","0.24409999999999998","0.57","0.2129"
"1330000","0.5667999999999999","0.2772","0.3446000000000001","0.2415","0.23639999999999997","0.013600000000000003"
"1340000","0.8372999999999997","0.8333","0.34009999999999996","0.31920000000000004","0.034599999999999964","0.028199999999999975"
"1350000","0.6570999999999997","0.6465000000000001","0.06429999999999997","0.022599999999999985","0.08159999999999998","0.1422"
"1360000","0.9591999999999994","0.35350000000000004","0.6364000000000001","0.48669999999999997","0.9008999999999999","0.22689999999999996"
"1370000","0.9348999999999996","0.9316","0.17839999999999995","0.273","0.12290000000000001","0.018199999999999997"
"1380000","0.5444999999999999","0.4423","0.18839999999999998","0.1563","0.04089999999999999","0.04920000000000006"
"1390000","0.7872","0.16880000000000003","0.09910000000000002","0.5898000000000001","0.07220000000000001","0.2144"
