"points","all_attributes","Rcdminutes_Temperature","Rcdminutes_Humidity","Rcdminutes_Light","Rcdminutes_Voltage","Temperature_Humidity","Temperature_Light","Temperature_Voltage","Humidity_Light","Humidity_Voltage","Light_Voltage"
"1100000","0.9552999999999997","0.9553","0.9552999999999999","0.9552999999999999","0.9553","0.43889999999999996","0.5484","0.4245","0.5665999999999999","0.2526","0.5111"
"1110000","0.7791999999999997","0.5773000000000001","0.49340000000000006","0.7459","0.36350000000000005","0.5990000000000001","0.7599","0.5636","0.7438999999999999","0.34889999999999993","0.7391000000000001"
"1120000","0.6967000000000001","0.6411999999999999","0.6412","0.6412","0.6412","0.4951","0.30900000000000005","0.2751","0.1494","0.08350000000000002","0.11110000000000002"
"1130000","0.6213999999999998","0.5831999999999999","0.5832","0.5889","0.5831999999999999","0.22740000000000002","0.18860000000000002","0.15739999999999998","0.23590000000000003","0.26869999999999994","0.1481"
"1140000","0.5720999999999999","0.4193","0.45289999999999997","0.5210999999999999","0.43189999999999995","0.2004","0.48739999999999994","0.19050000000000003","0.48590000000000005","0.1464","0.40530000000000005"
"1150000","0.8651999999999995","0.8626","0.8625999999999999","0.8626","0.8625999999999999","0.26709999999999995","0.5964","0.18010000000000004","0.5918","0.2645","0.5159"
"1160000","0.5933000000000002","0.5610999999999999","0.28720000000000007","0.14370000000000002","0.1424","0.5481999999999999","0.5639999999999998","0.5411","0.2187","0.21999999999999997","0.03740000000000001"
"1170000","0.8775999999999998","0.8775999999999999","0.8776","0.8776","0.8775999999999999","0.21789999999999998","0.23969999999999997","0.2093","0.20019999999999993","0.20019999999999996","0.03670000000000001"
"1180000","0.5016999999999998","0.4705","0.3948","0.39480000000000004","0.3948","0.36789999999999995","0.3677","0.3679","0.030600000000000002","0.051399999999999994","0.0495"
"1190000","0.6972999999999998","0.6052","0.6052","0.6658","0.6052","0.39759999999999995","0.5839","0.21410000000000004","0.5966","0.3976","0.5781999999999999"
"1200000","0.7761999999999994","0.7492","0.7102000000000002","0.6799","0.6849999999999999","0.6986999999999998","0.7013999999999998","0.6909","0.6049999999999999","0.6101000000000001","0.46530000000000005"
"1210000","0.5187999999999999","0.38370000000000004","0.3299000000000001","0.32199999999999995","0.32330000000000003","0.26560000000000006","0.2642","0.3271","0.1685","0.3297999999999999","0.3016"
"1220000","0.9409","0.9387","0.9387","0.9406999999999999","0.9387","0.1829","0.16119999999999995","0.1357","0.2308","0.20559999999999998","0.21699999999999994"
"1230000","0.7445999999999997","0.296","0.5337999999999999","0.7083","0.3891","0.522","0.7139","0.36369999999999997","0.7268999999999999","0.5486","0.7118"
"1240000","0.8101999999999997","0.7952000000000001","0.7711","0.7705","0.7727","0.7219000000000001","0.7152999999999999","0.7109","0.46490000000000004","0.4442","0.24709999999999996"
"1250000","0.7213000000000002","0.6634","0.5736","0.5736000000000001","0.5736","0.6337999999999999","0.6337999999999999","0.6351","0.3619","0.34159999999999996","0.10210000000000002"
"1260000","0.5222999999999999","0.45449999999999996","0.4321","0.4264","0.42639999999999995","0.4169","0.3725","0.3743","0.3187","0.3337","0.0867"
"1270000","0.9421999999999999","0.9421999999999999","0.9421999999999998","0.9422","0.9422000000000001","0.46140000000000003","0.49740000000000006","0.46009999999999995","0.36920000000000003","0.2979","0.34959999999999997"
"1280000","0.8572999999999997","0.7155","0.5968","0.7979999999999999","0.3593","0.6904000000000001","0.8295999999999999","0.7002999999999999","0.8207999999999999","0.6068","0.7955"
"1290000","0.8164999999999996","0.7819999999999999","0.7737","0.7737","0.7737","0.5659000000000001","0.5242","0.5239999999999999","0.3086","0.31260000000000004","0.2077"
"1300000","0.5757999999999995","0.4858","0.4545","0.45520000000000005","0.5032","0.1594","0.16170000000000004","0.25389999999999996","0.16120000000000004","0.25939999999999996","0.2902"
"1310000","0.6781999999999998","0.5683999999999999","0.5455","0.5937","0.6242000000000001","0.43399999999999994","0.48330000000000006","0.4172","0.47520000000000007","0.3878","0.45899999999999996"
"1320000","0.8172999999999996","0.7468","0.7228000000000001","0.7688999999999999","0.7228","0.4200000000000001","0.6507","0.366","0.6423","0.27769999999999995","0.6153"
"1330000","0.5667999999999999","0.4454000000000001","0.3466","0.3424","0.2828","0.3649","0.44759999999999994","0.34909999999999997","0.38760000000000006","0.2461","0.2408"
"1340000","0.8372999999999999","0.8332999999999999","0.8333","0.8333000000000002","0.8333000000000002","0.39069999999999994","0.35159999999999997","0.3401","0.33810000000000007","0.3205","0.056100000000000004"
"1350000","0.6570999999999999","0.6465","0.6465000000000001","0.6465000000000001","0.6465000000000001","0.1091","0.1637","0.1424","0.08180000000000003","0.1422","0.15089999999999998"
"1360000","0.9591999999999997","0.6471","0.5984","0.9021","0.4296000000000001","0.6749999999999999","0.9589000000000001","0.6368","0.9257000000000001","0.4884","0.9008999999999999"
"1370000","0.9349","0.9316","0.9316","0.9316","0.9315999999999999","0.4654","0.2774","0.2176","0.3449","0.3398","0.1391"
"1380000","0.5444999999999999","0.45349999999999996","0.4423","0.44559999999999994","0.44229999999999997","0.2649","0.20839999999999997","0.19959999999999997","0.17219999999999996","0.17860000000000004","0.1628"
"1390000","0.7871999999999995","0.2118","0.5937000000000001","0.16879999999999998","0.21439999999999998","0.7524","0.15839999999999999","0.23449999999999993","0.6085","0.6411","0.2148"
"1400000","0.7364999999999997","0.7265","0.7265","0.7265","0.7265","0.22890000000000002","0.3189999999999999","0.1311","0.4234","0.2214","0.2844"
"1410000","0.8879999999999996","0.7915","0.7626000000000001","0.8134","0.7625","0.6554","0.8359","0.6447999999999999","0.7003999999999999","0.3286","0.6586"
"1420000","0.4192999999999999","0.3814","0.2781","0.24030000000000004","0.2729000000000001","0.3129","0.25949999999999995","0.2595","0.0645","0.11400000000000002","0.08729999999999999"
"1430000","0.7783","0.7783000000000001","0.7783","0.7783","0.7783","0.4364","0.5282","0.4347","0.5221","0.27219999999999994","0.5194"
"1440000","0.7705999999999998","0.7706","0.7149000000000001","0.7108","0.7149","0.5488000000000001","0.5488","0.5488000000000001","0.11880000000000002","0.28479999999999994","0.32939999999999997"
"1450000","0.9343999999999999","0.3297999999999999","0.4724","0.9283","0.2892","0.512","0.9310999999999999","0.2419","0.9311","0.46559999999999996","0.9312"
