"Distance","mean","sd","max","min","Attributes"
"0.08474328027260897","1.1648560862214291E-5","3.203458064354581E-5","6.711384510421187E-4_Flight=4.0_AirportFrom=5.0_Length=2.0","0.0_Flight=0.0_AirportFrom=212.0_Length=0.0","_Flight_AirportFrom_Length"
"0.0853050342799742","3.234927352293295E-6","1.4296990438343299E-5","6.118112951488928E-4_Airline=11.0_AirportFrom=102.0_Time=1.0","0.0_Airline=16.0_AirportFrom=212.0_Time=0.0","_Airline_AirportFrom_Time"
"0.08644708203091907","3.2894627865646524E-6","1.3757386915431628E-5","7.082179234753846E-4_Airline=0.0_AirportTo=12.0_Time=4.0","0.0_Airline=16.0_AirportTo=212.0_Time=0.0","_Airline_AirportTo_Time"
"0.08674000986314254","5.613215572506671E-8","1.4167696193543657E-6","2.1876888735627067E-4_Airline=0.0_AirportFrom=15.0_AirportTo=25.0","0.0_Airline=16.0_AirportFrom=212.0_AirportTo=212.0","_Airline_AirportFrom_AirportTo"
"0.08802295960933157","1.2016786294789292E-5","2.7220446813223875E-5","4.8203314163246084E-4_Flight=0.0_AirportTo=12.0_Time=4.0","0.0_Flight=0.0_AirportTo=212.0_Time=0.0","_Flight_AirportTo_Time"
"0.08901298152329924","8.679959192910701E-6","2.888791288073085E-5","6.915321608804148E-4_AirportTo=7.0_DayOfWeek=2.0_Length=2.0","0.0_AirportTo=212.0_DayOfWeek=0.0_Length=0.0","_AirportTo_DayOfWeek_Length"
"0.08928366167206224","8.706354136719867E-6","2.823339779141182E-5","7.026560026103948E-4_AirportFrom=54.0_DayOfWeek=2.0_Length=1.0","0.0_AirportFrom=212.0_DayOfWeek=0.0_Length=0.0","_AirportFrom_DayOfWeek_Length"
"0.09012165774905452","1.2303297986219047E-5","2.8012784118457897E-5","5.599000337423198E-4_Flight=0.0_AirportFrom=0.0_Time=4.0","0.0_Flight=0.0_AirportFrom=212.0_Time=0.0","_Flight_AirportFrom_Time"
"0.09388151625378954","9.154706606902929E-6","2.891146276332717E-5","6.80408319150435E-4_Flight=4.0_AirportFrom=54.0_DayOfWeek=2.0","0.0_Flight=0.0_AirportFrom=212.0_DayOfWeek=0.0","_Flight_AirportFrom_DayOfWeek"
"0.09467501696386116","9.232083565466715E-6","2.9315639150065715E-5","6.804083191504352E-4_Flight=4.0_AirportTo=7.0_DayOfWeek=2.0","0.0_Flight=0.0_AirportTo=212.0_DayOfWeek=0.0","_Flight_AirportTo_DayOfWeek"
"0.09467501696386349","2.5644676570741506E-6","1.5994962753661197E-5","0.001014123571049831_Airline=4.0_AirportFrom=54.0_DayOfWeek=2.0","0.0_Airline=16.0_AirportFrom=212.0_DayOfWeek=0.0","_Airline_AirportFrom_DayOfWeek"
"0.09559458788020896","2.5982438541043964E-6","1.6426393577699143E-5","9.992917820765244E-4_Airline=4.0_AirportTo=7.0_DayOfWeek=2.0","0.0_Airline=16.0_AirportTo=212.0_DayOfWeek=0.0","_Airline_AirportTo_DayOfWeek"
"0.10153842731127467","1.7308827282583627E-7","1.4242717027254743E-6","1.316321271380951E-4_AirportFrom=15.0_AirportTo=25.0_DayOfWeek=2.0","0.0_AirportFrom=212.0_AirportTo=212.0_DayOfWeek=0.0","_AirportFrom_AirportTo_DayOfWeek"
"0.1024802459110612","5.85601405206064E-4","5.491346507418579E-4","0.001961504091719783_Flight=0.0_DayOfWeek=3.0_Time=4.0","1.8539736216633372E-6_Flight=1.0_DayOfWeek=1.0_Time=2.0","_Flight_DayOfWeek_Time"
"0.10318475588729317","5.896271764988182E-4","5.462263060807127E-4","0.0019188626984215271_DayOfWeek=3.0_Time=4.0_Length=4.0","1.8539736216633372E-6_DayOfWeek=1.0_Time=1.0_Length=1.0","_DayOfWeek_Time_Length"
"0.10528716197425951","1.6712247932422144E-4","2.2315741559852253E-4","0.0015387981059805482_Airline=17.0_DayOfWeek=3.0_Time=4.0","0.0_Airline=17.0_DayOfWeek=6.0_Time=1.0","_Airline_DayOfWeek_Time"
"0.11454219829360732","1.1169400126144058E-5","3.303507795566537E-5","6.118112951488926E-4_AirportTo=7.0_DayOfWeek=3.0_Time=0.0","0.0_AirportTo=212.0_DayOfWeek=0.0_Time=0.0","_AirportTo_DayOfWeek_Time"
"0.11462377313296052","1.1177354766744078E-5","3.2647387051045024E-5","5.802937435806163E-4_AirportFrom=54.0_DayOfWeek=3.0_Time=4.0","0.0_AirportFrom=212.0_DayOfWeek=0.0_Time=0.0","_AirportFrom_DayOfWeek_Time"
"0.11830205679834735","2.78449505244898E-7","2.3549403256835867E-6","1.0938444367813535E-4_AirportFrom=83.0_AirportTo=35.0_Time=2.0","0.0_AirportFrom=212.0_AirportTo=212.0_Time=0.0","_AirportFrom_AirportTo_Time"
"0.13610947343441568","3.1926598197226423E-7","3.2771861545388054E-6","3.763566451976521E-4_Flight=2.0_AirportFrom=15.0_AirportTo=25.0","0.0_Flight=0.0_AirportFrom=212.0_AirportTo=212.0","_Flight_AirportFrom_AirportTo"
