"points","all_attributes","Airline","Flight","AirportFrom","AirportTo","DayOfWeek","Time","Length"
"145000","0.499499999999955","0.11732120103193994","0.11392171433452371","0.14247464616538086","0.15574455862754996","0.11280000000000001","0.32995713050993947","0.11529562672039784"
"150000","0.49337499999995643","0.08482067844842316","0.08884143311529182","0.13312092583845042","0.12838710342184284","0.09","0.3419187511333771","0.09094101456085495"
"155000","0.4949499999999564","0.20552274290783668","0.21461436988900878","0.23550271006680895","0.23558528483561705","0.2334086806557377","0.33914195168856104","0.21586834541314598"
"160000","0.4955166666666225","0.10972112343922573","0.11343520275105928","0.15099774179576575","0.15536866039033395","0.18567667785288272","0.33789174558819535","0.1136564986072793"
"165000","0.49448333333329014","0.06373751244870361","0.062001191102082076","0.12321412150243737","0.11619509384250133","0.06119999999999998","0.3295710672397978","0.0611791958858338"
"170000","0.49448333333328925","0.06310053346170422","0.06153536016431717","0.10781014924695755","0.11417890823254666","0.057749724787363274","0.33585054997136593","0.06069254835688616"
"175000","0.48984999999995643","0.14390789777750823","0.11286011858221523","0.14734255622175235","0.1432132862299926","0.2684594960451977","0.36420202022583154","0.11293160993084632"
"180000","0.4984166666666218","0.10632586784321495","0.1026434192614615","0.14692619750781508","0.14145254810957808","0.10160000000000002","0.3566426660065149","0.10295108321818977"
"185000","0.4965333333332893","0.061305224290638546","0.05777767431206318","0.11843419440350862","0.1239409594811486","0.09338917130307466","0.3659695074620556","0.06008237784757438"
"190000","0.4923333333332895","0.08147423623444605","0.04796536753337994","0.1256653023890994","0.14227174418951757","0.24597812018927445","0.3696271667493284","0.031121484003616848"
"195000","0.4978283333332884","0.1981235849336756","0.18849542404683467","0.22049756967122458","0.2132070409585938","0.18700000000000003","0.3495973949221418","0.1900097009544745"
"200000","0.4908666666666237","0.07232636899038022","0.052755297728048434","0.12240618678997045","0.12123411619276704","0.05319999999999997","0.3264619411123228","0.05580122378143716"
"205000","0.49476666666662283","0.1759600774556982","0.16862062658282057","0.24095144390035075","0.22839845589839972","0.22922604827586207","0.3175466094495393","0.171776521750406"
"210000","0.4952666666666233","0.12104212914061044","0.1234319317505558","0.16241140014919528","0.15872544633792626","0.16575932727354462","0.33547130107272655","0.12525446510252475"
"215000","0.4921333333332904","0.07422173538416096","0.061346986578664255","0.10904287538941751","0.10967909029304915","0.06200000000000003","0.3389484270748893","0.06150860018148918"
"220000","0.5000833333332886","0.1263123346702779","0.12998075998043662","0.15079469534187026","0.1750940177267808","0.10405050621552461","0.32827100129043546","0.13094120271768644"
"225000","0.48813333333329045","0.10407075547508764","0.08869063897040066","0.15224628700802478","0.15031521077140692","0.2670254606473365","0.3564466432812987","0.0908704729968626"
"230000","0.49713333333328846","0.07614588348463619","0.07400858237029288","0.1283067430904522","0.12569661308919958","0.07339999999999997","0.34773935455273386","0.07716565704383423"
"235000","0.49092499999995665","0.0389820522445937","0.03344138627870495","0.1071551091294723","0.0977438510803524","0.03420000000000001","0.3314491622775921","0.045804725111554395"
"240000","0.4936833333332897","0.1767437947454215","0.18775557817680666","0.20677718798507408","0.205748879029863","0.2577033169849246","0.3580667514401275","0.19262936382969292"
"245000","0.49454999999995614","0.13207747409368048","0.13626423555593847","0.16638777777054367","0.17709704692009157","0.18246427691722167","0.3457145771035997","0.1380057882309098"
"250000","0.4949749999999569","0.098730229747528","0.09328376961702832","0.14093934267537211","0.13470344329824774","0.09340000000000004","0.3344598087759933","0.09505733430543158"
"255000","0.4971999999999557","0.07342786131708978","0.07628495474997082","0.12052584768614104","0.13134732687827547","0.08374969733175212","0.328600235256009","0.07533136628536785"
"260000","0.4897333333332901","0.08811253705455843","0.0596159398162602","0.11596024180196574","0.11124883263191333","0.2524817536570375","0.33961035212905544","0.04064892285781142"
"265000","0.4982166666666221","0.16861469148056932","0.1624775918102393","0.20300302476099044","0.19779947450014942","0.1606","0.3375180659760963","0.16259942329952498"
"270000","0.4946583333332891","0.09361983956528189","0.09586903817669945","0.13208156762354648","0.13141400380130852","0.09819999999999998","0.33904412108461895","0.09854832590249503"
"275000","0.4911499999999566","0.2123268414506518","0.21855586017697567","0.2305684281727226","0.2427506237535405","0.18008147654080392","0.3137961137686929","0.2189582951861346"
"280000","0.4978999999999557","0.08381833047985754","0.06371837952210399","0.16556159190718794","0.1401798403730417","0.23042786789755806","0.3500055906293429","0.06291571268071927"
"285000","0.4953999999999561","0.08703162100829391","0.08367160513407677","0.13881276252991198","0.12882087374120382","0.0834","0.3255082286525218","0.08515427115638438"
"290000","0.49244999999995726","0.03988154837122905","0.0286438271279863","0.09015030018455716","0.09805968291525193","0.024999999999999967","0.31896034531648865","0.02439039906299992"
"295000","0.49683333333328894","0.19098657002969482","0.206604993529235","0.22401201705510904","0.21001757814846833","0.2860931993832599","0.3379028197110516","0.21045454539855882"
"300000","0.4949499999999561","0.16975470560708672","0.17962590860469033","0.21196710055635945","0.20186179680361102","0.19149376586633146","0.35247853617555985","0.1816264466039315"
"305000","0.49866666666662135","0.043704302348431937","0.03634219139178176","0.10595436853938568","0.09964180367450144","0.023600000000000038","0.35625132611924465","0.028515451122318416"
"310000","0.4956333333332891","0.22608817772455359","0.2401341055987842","0.26988400832277415","0.2581167442320439","0.2184186447815334","0.3582559475893956","0.24369622397046126"
"315000","0.4983666666666223","0.10200440994393489","0.1088139385141867","0.15381295437648274","0.15860362811959716","0.20891817655664116","0.3497325512724149","0.1114008748265019"
