"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_DayOfWeek","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_DayOfWeek","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_DayOfWeek_Time","Airline_Flight_DayOfWeek_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_DayOfWeek","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_DayOfWeek_Time","Airline_AirportFrom_DayOfWeek_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_DayOfWeek_Time","Airline_AirportTo_DayOfWeek_Length","Airline_AirportTo_Time_Length","Airline_DayOfWeek_Time_Length","Flight_AirportFrom_AirportTo_DayOfWeek","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_DayOfWeek_Time","Flight_AirportFrom_DayOfWeek_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_DayOfWeek_Time","Flight_AirportTo_DayOfWeek_Length","Flight_AirportTo_Time_Length","Flight_DayOfWeek_Time_Length","AirportFrom_AirportTo_DayOfWeek_Time","AirportFrom_AirportTo_DayOfWeek_Length","AirportFrom_AirportTo_Time_Length","AirportFrom_DayOfWeek_Time_Length","AirportTo_DayOfWeek_Time_Length"
"110000","0.999503192287924","0.5143356850143107","0.47160119515089877","0.7879022637482157","0.36403126163913635","0.43301119837550306","0.8044062774641934","0.37084109381065633","0.9965990851437416","0.33729802187713454","0.7591292966370111","0.5585732583165929","0.8366518124220959","0.43412574513753577","0.9968000649289104","0.4726850596428414","0.7947967841899837","0.9969012557533401","0.4547895406318444","0.810519370518878","0.9966960529516871","0.6380514189485961","0.837772267885654","0.5102902453051916","0.9967012526104452","0.4714040607549385","0.7926856246939766","0.9967972437761272","0.45508786493222453","0.8036540263698213","0.9965990851437416","0.9988057724044812","0.532972244403841","0.8252519350905047","0.9967978702298668","0.9970016537424431"
"120000","0.9915491662261793","0.5232275300338487","0.9633910687229716","0.7548732309917361","0.3665417295916098","0.968532991798045","0.7640675049931203","0.3791493564485625","0.96140288851298","0.9616660577717648","0.7088127192378433","0.9733202230241409","0.8118604444822632","0.43787018273319134","0.9680641577137397","0.9646240988588785","0.7649672857280926","0.9738907371707382","0.9692518740110281","0.7758729883213424","0.9616085494204907","0.9762670088257768","0.815568029730003","0.5174039881338742","0.963737182092962","0.9636443585731547","0.763436461298569","0.9684324019289343","0.9679934791444429","0.7702714396437167","0.96140288851298","0.9834591096831967","0.9718781937947572","0.8036353951017132","0.9677771670948937","0.9711837370853067"
"130000","0.9902985060240937","0.5209102682566868","0.404490565045964","0.7438455368241715","0.36556587090813","0.4270147852328601","0.7267569890016023","0.361475450881578","0.9193013040613658","0.261651063949842","0.6772425620148878","0.5477904593172251","0.800368059779188","0.4355852451376214","0.9397839442578015","0.4249803055290867","0.7535731233585337","0.9430277114355907","0.43438564417963066","0.739880433770155","0.9201487117676774","0.6322602668658837","0.8083382734232445","0.514319407927895","0.9320838297608818","0.42975466552692665","0.7499687643968289","0.9349926869096181","0.4311643879522561","0.7364217231412945","0.9185463523465371","0.9728666418301641","0.5131514718150488","0.7866218250532414","0.9348978135354601","0.9351277705933763"
"140000","0.9793254449654161","0.5294534379358388","0.8414174983117837","0.7515671312160244","0.37289703144626896","0.8029175082939124","0.7428127839363268","0.37095253107657633","0.8545548634057473","0.7938665909639786","0.6599864210212001","0.8640144835162527","0.8171974298821535","0.448311888266818","0.9155614456182304","0.8484336647194848","0.7611746817908025","0.9089094416854048","0.8110519465336625","0.7529176948484841","0.8573134985608333","0.8836553045710887","0.828680783297189","0.523773982681935","0.9025817281479636","0.839711277300076","0.7575385465078349","0.8994348166795737","0.8081296720829148","0.7463134729930954","0.8512191340868618","0.9508747844017","0.8535052794551135","0.8012788513908923","0.902165999537913","0.8985324512164112"
"150000","0.9825633158457064","0.536790253718928","0.5107370676387295","0.7564178799439207","0.372615074414838","0.5409200958940178","0.7682916333041323","0.3784037906033151","0.8722341489405266","0.42586904530899494","0.6951047579928664","0.635477950935174","0.8309740119645781","0.4526321550899517","0.9071492626125552","0.5270254741186621","0.7690706839983563","0.9133274392659263","0.5491440358219845","0.7762451020451393","0.8754847045951433","0.7002497344586766","0.8402471122025457","0.5283200058681661","0.9013914365377913","0.5242875941815349","0.7685891435715051","0.9056839231065805","0.5416422124607273","0.7741918868179127","0.8707242462945084","0.9576267802136419","0.6023422558598912","0.8161652589275008","0.9003626177857762","0.9045220049703604"
"160000","0.9918510001291334","0.5467801718118412","0.6964725463043807","0.7996536142784454","0.3912483552185207","0.6533962722370226","0.8018299093028165","0.38836943435078536","0.959800679006272","0.6085558373735985","0.7473472966615664","0.7471624888340029","0.8599486286063365","0.47084619325401145","0.9661506097503063","0.7003321885924267","0.8083180361541283","0.9693074318791082","0.6649760312469459","0.8131957975180601","0.9601121424765968","0.7893851888972097","0.8640842585006423","0.5443046407095765","0.9634689012018729","0.693115361677261","0.8056737243209543","0.9639853670129077","0.657196043599736","0.8060118988109515","0.959695853162081","0.9819361961880297","0.728301513582023","0.8476732524372054","0.9639394473502065","0.9641630166832004"
"170000","0.992960790020299","0.5647428178278462","0.6315948617091486","0.7796314217841782","0.3969181040037361","0.6700235551604422","0.7911378749802174","0.39900350081284347","0.9600567320085255","0.5868777914726573","0.7217757484175115","0.7307891971499931","0.8483290884763307","0.4696519361581025","0.9691076009122802","0.642090540180212","0.7825527954219985","0.9670439015946228","0.670832134871195","0.7927745257579375","0.9602635869885081","0.7819697958675114","0.8633016895890012","0.5615198835486502","0.9653845970247477","0.6459579162021499","0.788934713888176","0.9638244007461569","0.6689069544391522","0.7925685917796307","0.9599434610665187","0.9826074356307436","0.7043466911607658","0.8293574183144883","0.9657929503702555","0.9646031316458616"
"180000","0.9951595419358603","0.5190317820149868","0.5787916900439417","0.6616638037607461","0.36846941722798743","0.5499966949894914","0.6530210758468","0.3676242641945541","0.963321956272737","0.4410399036554973","0.5780924580728475","0.673671073281269","0.7369135257296774","0.44176274025802986","0.9716772108049114","0.588689785954074","0.6695805887550249","0.9712972773983198","0.5685700427836758","0.6635173757788129","0.9633304083453338","0.7333946672343732","0.754715997636275","0.5179091290642441","0.9689426138969248","0.5839118276677296","0.664061672381191","0.9679614131688312","0.5635449876452476","0.6600458551060109","0.9632291771551824","0.9859361259125106","0.6462506014245706","0.7129497870033485","0.9697441118846235","0.9688434257735601"
"190000","0.9875714944371788","0.5791328256786596","0.8855899662925923","0.6298998225445767","0.4247517711745931","0.8539049387400321","0.6197127796781691","0.4279424863135693","0.8899204072261615","0.8457370466172527","0.47504337260991447","0.9046586585263774","0.7483790461045874","0.49414229805073456","0.9432802421089488","0.8917249390658153","0.6419236868064566","0.929702146266392","0.859764934423058","0.629316296158881","0.8929805120055943","0.9166152752952235","0.777669553265419","0.5702377120974671","0.9291507270359431","0.8838581465979458","0.6395875164787521","0.9232333173238014","0.8549968105418569","0.625858258321157","0.8778749803361756","0.9693582244423593","0.8959789773338277","0.71575720085876","0.9281115336554702","0.9218651297592172"
"200000","0.9795978689468259","0.573118883643716","0.5498501811341048","0.7597573408158335","0.40542027585014","0.5721691063226128","0.757043174754126","0.40198505070638113","0.8422107448368708","0.4658537072399866","0.664048806709448","0.6666080279095719","0.8480554371550169","0.48884715596902284","0.9002440998603651","0.5638028883860617","0.772243044179161","0.8981798667814402","0.5787830668923095","0.7719131892207466","0.8477555743770955","0.7270266834179777","0.8629606107031782","0.5673106048602148","0.8907133528611473","0.5563741078321852","0.7709097862655229","0.888538300366651","0.570773453755434","0.766984286718641","0.835326134515741","0.9490689822296277","0.6323197323050543","0.8263844836247344","0.8898194312691571","0.8859807429748974"
