"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_DayOfWeek","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_DayOfWeek","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_DayOfWeek","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_DayOfWeek_Time","Airline_DayOfWeek_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_DayOfWeek","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_DayOfWeek","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_DayOfWeek_Time","Flight_DayOfWeek_Length","Flight_Time_Length","AirportFrom_AirportTo_DayOfWeek","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_DayOfWeek_Time","AirportFrom_DayOfWeek_Length","AirportFrom_Time_Length","AirportTo_DayOfWeek_Time","AirportTo_DayOfWeek_Length","AirportTo_Time_Length","DayOfWeek_Time_Length"
"145000","0.9963999999999088","0.36599999999998695","0.3805999999999866","0.13959999999999992","0.9789999999999986","0.18720000000000012","0.5699999999999587","0.28199999999999514","0.9841999999999654","0.4019999999999853","0.29719999999999386","0.9825999999999638","0.4093999999999843","0.9790000000000001","0.1569999999999999","0.9789999999999992","0.6567999999999489","0.24219999999999808","0.9817999999999731","0.3999999999999874","0.2623999999999975","0.9805999999999715","0.4041999999999873","0.9790000000000001","0.11339999999999997","0.9789999999999993","0.48299999999997234","0.9917999999999177","0.5263999999999669","0.9807999999999907","0.26479999999999776","0.9819999999999718","0.9793999999999902","0.2545999999999978","0.9811999999999709","0.979"
"150000","0.963999999999912","0.36899999999998684","0.3763999999999869","0.10600000000000001","0.7461999999999991","0.1593999999999999","0.5783999999999576","0.28119999999999507","0.8145999999999707","0.3985999999999844","0.2873999999999941","0.8265999999999688","0.40339999999998366","0.7435999999999996","0.12440000000000001","0.7523999999999985","0.6671999999999474","0.24579999999999783","0.8029999999999782","0.39819999999998706","0.25079999999999836","0.8107999999999765","0.40279999999998617","0.7432000000000001","0.10019999999999997","0.7431999999999997","0.4941999999999715","0.9129999999999242","0.5283999999999665","0.7595999999999927","0.2641999999999978","0.7997999999999778","0.7693999999999916","0.24999999999999786","0.8081999999999769","0.7432000000000002"
"155000","0.9701999999999119","0.4337999999999844","0.44379999999998665","0.8048000000000001","0.8049999999999989","0.2451999999999999","0.5985999999999569","0.822599999999975","0.8451999999999653","0.4545999999999831","0.8551999999999764","0.8889999999999678","0.4631999999999826","0.8047999999999998","0.8061999999999993","0.8089999999999974","0.6963999999999457","0.810599999999984","0.8305999999999748","0.4547999999999855","0.8365999999999848","0.8639999999999747","0.4501999999999854","0.8048000000000003","0.8048000000000001","0.8047999999999998","0.8883999999999347","0.9219999999999242","0.5575999999999652","0.813399999999992","0.821199999999984","0.848199999999975","0.8343999999999919","0.8405999999999855","0.8733999999999759","0.8048000000000001"
"160000","0.9831999999999107","0.39499999999998525","0.3905999999999866","0.2542","0.9191999999999986","0.18460000000000007","0.5815999999999578","0.44019999999999126","0.9317999999999649","0.4149999999999835","0.4061999999999889","0.9381999999999643","0.4189999999999833","0.9189999999999999","0.26920000000000005","0.9197999999999973","0.6621999999999488","0.3971999999999958","0.9263999999999758","0.41979999999998546","0.35419999999999396","0.9271999999999718","0.3989999999999873","0.9189999999999999","0.23000000000000004","0.9189999999999999","0.5683999999999617","0.9629999999999211","0.5391999999999654","0.9211999999999907","0.3899999999999946","0.9271999999999745","0.9211999999999897","0.3605999999999939","0.9275999999999732","0.9190000000000002"
"165000","0.9653999999999118","0.36199999999998705","0.3637999999999873","0.0854","0.6747999999999997","0.15260000000000024","0.564799999999959","0.2655999999999959","0.7963999999999729","0.3849999999999852","0.26899999999999574","0.7947999999999706","0.3883999999999833","0.6622000000000001","0.12060000000000018","0.6919999999999981","0.6539999999999485","0.23699999999999846","0.7799999999999817","0.38679999999998743","0.23919999999999847","0.7805999999999788","0.3907999999999871","0.6569999999999999","0.0792","0.6732000000000001","0.47179999999997196","0.9047999999999251","0.5137999999999676","0.7263999999999938","0.23319999999999774","0.7783999999999799","0.7173999999999939","0.22899999999999882","0.776199999999978","0.6554000000000002"
"170000","0.9849999999999103","0.35939999999998656","0.3773999999999866","0.21139999999999995","0.9211999999999998","0.16760000000000022","0.5579999999999594","0.3499999999999892","0.9385999999999658","0.3917999999999847","0.395799999999992","0.9341999999999638","0.3931999999999848","0.921","0.22799999999999998","0.9215999999999974","0.6439999999999502","0.3243999999999948","0.930999999999974","0.38999999999998675","0.35719999999999635","0.927599999999972","0.390999999999987","0.9210000000000002","0.19580000000000014","0.9209999999999995","0.5397999999999651","0.9635999999999194","0.5079999999999681","0.924399999999991","0.32259999999999406","0.931799999999975","0.9223999999999913","0.34659999999999624","0.9293999999999729","0.921"
"175000","0.9709999999999116","0.40799999999998615","0.42039999999998695","0.8231999999999997","0.8263999999999989","0.23119999999999996","0.5787999999999585","0.8809999999999791","0.9097999999999701","0.43279999999998414","0.8343999999999744","0.8579999999999677","0.439599999999983","0.8242","0.8237999999999993","0.8315999999999979","0.6695999999999482","0.8539999999999848","0.8777999999999777","0.4197999999999872","0.8285999999999825","0.8505999999999748","0.42759999999998655","0.823","0.823","0.8243999999999996","0.8965999999999336","0.9307999999999241","0.5245999999999678","0.8527999999999918","0.8579999999999854","0.8797999999999773","0.8309999999999916","0.8311999999999826","0.8565999999999748","0.8230000000000001"
"180000","0.9901999999999089","0.3783999999999863","0.371999999999987","0.13520000000000007","0.9265999999999982","0.1767999999999999","0.5743999999999579","0.29279999999999445","0.9431999999999654","0.4071999999999852","0.2913999999999945","0.942399999999966","0.4121999999999852","0.9263999999999999","0.1434","0.9265999999999981","0.6631999999999485","0.254799999999998","0.9377999999999731","0.4045999999999869","0.2523999999999985","0.9357999999999725","0.3995999999999876","0.9264","0.106","0.9263999999999999","0.4857999999999715","0.9715999999999178","0.527999999999967","0.9305999999999902","0.25739999999999746","0.9393999999999717","0.9291999999999907","0.2519999999999981","0.9375999999999736","0.9263999999999999"
"185000","0.9765999999999102","0.3771999999999865","0.388599999999987","0.3317999999999998","0.7725999999999978","0.17659999999999992","0.5793999999999582","0.4415999999999862","0.8487999999999654","0.4133999999999848","0.49579999999998947","0.8547999999999649","0.4037999999999848","0.761199999999999","0.33760000000000007","0.7797999999999972","0.65539999999995","0.4151999999999921","0.8419999999999731","0.3969999999999873","0.45699999999999413","0.8367999999999715","0.397999999999987","0.752","0.3181999999999999","0.7617999999999996","0.6129999999999577","0.9371999999999211","0.5195999999999682","0.7989999999999903","0.4143999999999919","0.8429999999999718","0.7965999999999912","0.4363999999999943","0.8377999999999747","0.7542"
"190000","0.9735999999999106","0.40539999999998544","0.4045999999999865","0.6829999999999997","0.7839999999999991","0.2056000000000001","0.5923999999999573","0.7749999999999796","0.8837999999999684","0.4201999999999842","0.712199999999977","0.862399999999964","0.4199999999999824","0.7757999999999997","0.6849999999999988","0.7889999999999968","0.6807999999999473","0.7447999999999859","0.8571999999999758","0.42239999999998656","0.6979999999999854","0.8479999999999716","0.41699999999998655","0.7508000000000004","0.6829999999999997","0.7597999999999994","0.8203999999999407","0.9361999999999219","0.5469999999999651","0.8169999999999891","0.7471999999999869","0.8541999999999734","0.8227999999999887","0.6975999999999853","0.8455999999999727","0.7499999999999999"
"195000","0.9905999999999088","0.42859999999998355","0.4291999999999844","0.2070000000000001","0.9373999999999987","0.25299999999999984","0.6109999999999557","0.3485999999999929","0.9535999999999668","0.4523999999999834","0.35579999999999157","0.9511999999999634","0.4575999999999813","0.9374","0.22799999999999995","0.9373999999999986","0.6895999999999459","0.3057999999999978","0.9453999999999736","0.43819999999998616","0.302799999999997","0.9447999999999735","0.44299999999998524","0.9374000000000001","0.18900000000000003","0.9374000000000005","0.5231999999999704","0.9749999999999184","0.5625999999999646","0.94079999999999","0.3171999999999973","0.9457999999999727","0.9397999999999899","0.3039999999999967","0.9459999999999714","0.9373999999999999"
